algorithm_name,sampler,solutions
Run_2_vibrating_platform,NSGAIIISampler,"Any[[-8.905196085163674, 123.61439831111765]]"
Run_18_vibrating_platform,NSGAIIISampler,"Any[[-93.51382192220524, 87.53492104738955], [-93.51382192220524, 87.53492104738955]]"
Run_11_vibrating_platform,NSGAIIISampler,"Any[[-84.9923864776386, 104.00160584578276], [-84.9923864776386, 104.00160584578276]]"
Run_8_vibrating_platform,NSGAIIISampler,"Any[[-42.34983069027799, 108.20616899924019]]"
Run_9_vibrating_platform,NSGAIIISampler,"Any[[-84.99064745838557, 104.0160296267771]]"
Run_15_vibrating_platform,NSGAIIISampler,"Any[[-93.50204617354352, 95.83879566995762], [-93.50204617354352, 95.83879566995762]]"
Run_20_vibrating_platform,NSGAIIISampler,"Any[[-101.67763346126556, 83.92208587707154]]"
Run_17_vibrating_platform,NSGAIIISampler,"Any[[-93.5080091536191, 87.5397503170582], [-93.5080091536191, 87.5397503170582]]"
Run_16_vibrating_platform,NSGAIIISampler,"Any[[-93.50204617354352, 87.5555827709047]]"
Run_7_vibrating_platform,NSGAIIISampler,"Any[[-42.34862714442785, 108.2195489639882]]"
Run_10_vibrating_platform,NSGAIIISampler,"Any[[-84.9923864776386, 104.00160584578276], [-84.9923864776386, 104.00160584578276]]"
Run_14_vibrating_platform,NSGAIIISampler,"Any[[-90.57556828702539, 103.71415412550074]]"
Run_5_vibrating_platform,NSGAIIISampler,"Any[[-42.34862714442785, 108.2195489639882]]"
Run_3_vibrating_platform,NSGAIIISampler,"Any[[-60.06261957391005, 124.6070838807474], [-60.06261957391005, 124.6070838807474]]"
Run_4_vibrating_platform,NSGAIIISampler,"Any[[-34.88196197346445, 119.50172208247506]]"
Run_13_vibrating_platform,NSGAIIISampler,"Any[[-90.57556828702539, 104.07642817167466]]"
Run_1_vibrating_platform,NSGAIIISampler,"Any[[-0.7390654385667997, 114.29868586017045]]"
Run_6_vibrating_platform,NSGAIIISampler,"Any[[-42.34862714442785, 108.2195489639882]]"
Run_12_vibrating_platform,NSGAIIISampler,"Any[[-84.9923864776386, 103.6394833862518], [-84.9923864776386, 103.6394833862518]]"
Run_19_vibrating_platform,NSGAIIISampler,"Any[[-93.51382192220524, 87.53178333809078], [-93.51382192220524, 87.53178333809078]]"
