algorithm_name,sampler,solutions
two_bar_plane_truss,TPESampler,"Any[[113.7645921103853, 1.6927542276569903e-5]]"
two_bar_plane_truss,TPESampler,"Any[[158.20180940811014, 7.687226169468121e-7]]"
two_bar_plane_truss,TPESampler,"Any[[115.53919208643765, 4.2575535715121914e-6]]"
two_bar_plane_truss,TPESampler,"Any[[113.76729885910491, 1.6847789570073975e-5]]"
two_bar_plane_truss,TPESampler,"Any[[113.76962864830452, 1.6779744332666052e-5]]"
two_bar_plane_truss,TPESampler,"Any[[158.15837143587274, 7.689410893591396e-7]]"
two_bar_plane_truss,TPESampler,"Any[[113.77096631552133, 1.6741639206501753e-5]]"
two_bar_plane_truss,TPESampler,"Any[[113.77294304779325, 1.6689515417032993e-5]]"
two_bar_plane_truss,TPESampler,"Any[[157.92358782338647, 7.700771621112136e-7]]"
two_bar_plane_truss,TPESampler,"Any[[127.64103824057307, 9.530366610553096e-7]]"
two_bar_plane_truss,TPESampler,"Any[[127.825415315138, 9.514016335022296e-7]]"
two_bar_plane_truss,TPESampler,"Any[[157.65869214541686, 7.71371033759966e-7]]"
two_bar_plane_truss,TPESampler,"Any[[128.03543325751835, 9.499289687716136e-7]]"
two_bar_plane_truss,TPESampler,"Any[[128.12257768332404, 9.492483477016448e-7]]"
two_bar_plane_truss,TPESampler,"Any[[157.56625134511083, 7.718235808215657e-7]]"
two_bar_plane_truss,TPESampler,"Any[[113.77771930604652, 1.6549045778793252e-5]]"
two_bar_plane_truss,TPESampler,"Any[[128.26984647031315, 9.481052038373606e-7]]"
two_bar_plane_truss,TPESampler,"Any[[157.4318610473379, 7.72482190865771e-7]]"
two_bar_plane_truss,TPESampler,"Any[[128.53572873851243, 9.461657888088961e-7]]"
two_bar_plane_truss,TPESampler,"Any[[157.29193405080932, 7.731694849990918e-7]]"
two_bar_plane_truss,TPESampler,"Any[[113.78117226649971, 1.645069976888418e-5]]"
two_bar_plane_truss,TPESampler,"Any[[128.68923510004984, 9.450153996126761e-7]]"
two_bar_plane_truss,TPESampler,"Any[[128.83891447371465, 9.447809175915989e-7]]"
two_bar_plane_truss,TPESampler,"Any[[157.11017489539694, 7.740638632405105e-7]]"
two_bar_plane_truss,TPESampler,"Any[[113.7846273110915, 1.6357479146413954e-5]]"
two_bar_plane_truss,TPESampler,"Any[[113.78665594393448, 1.630163817754023e-5]]"
two_bar_plane_truss,TPESampler,"Any[[113.78796011591474, 1.626330694000102e-5]]"
two_bar_plane_truss,TPESampler,"Any[[129.06075519011142, 9.422950358130338e-7]]"
two_bar_plane_truss,TPESampler,"Any[[113.78990220576239, 1.6211965945244e-5]]"
two_bar_plane_truss,TPESampler,"Any[[113.79260787981349, 1.6137372655087705e-5]]"
two_bar_plane_truss,TPESampler,"Any[[129.2308779160423, 9.410545753077062e-7]]"
two_bar_plane_truss,TPESampler,"Any[[156.89507465051392, 7.751250904773057e-7]]"
two_bar_plane_truss,TPESampler,"Any[[156.78546498332207, 7.756669851179109e-7]]"
two_bar_plane_truss,TPESampler,"Any[[156.66931313801064, 7.762420508398704e-7]]"
two_bar_plane_truss,TPESampler,"Any[[129.31960432717352, 9.404089160855016e-7]]"
two_bar_plane_truss,TPESampler,"Any[[113.79642671921646, 1.6035415152339733e-5]]"
two_bar_plane_truss,TPESampler,"Any[[113.79826517066975, 1.59880825852631e-5]]"
two_bar_plane_truss,TPESampler,"Any[[129.58657946027196, 9.39851005687391e-7]]"
two_bar_plane_truss,TPESampler,"Any[[113.80059044777289, 1.5929645316289076e-5]]"
two_bar_plane_truss,TPESampler,"Any[[113.80368541309856, 1.5846229853614383e-5]]"
two_bar_plane_truss,TPESampler,"Any[[113.80659232881679, 1.577059493675212e-5]]"
two_bar_plane_truss,TPESampler,"Any[[129.62630637935277, 9.381838635286002e-7]]"
two_bar_plane_truss,TPESampler,"Any[[129.8739692204154, 9.363947961544733e-7]]"
two_bar_plane_truss,TPESampler,"Any[[156.0972634507701, 7.790868620571084e-7]]"
