algorithm_name,sampler,solutions
water_tesource_management,TPESampler,"Any[[73450.76039161261, 1345.7488424497653, 2.85346896494178e6, 183754.22088989502, 9.950424277636216]]"
water_tesource_management,TPESampler,"Any[[63874.99428340876, 399.6560051158602, 289159.1077724162, 6.552890237773072e6, 24999.687925205308]]"
water_tesource_management,TPESampler,"Any[[69761.1064159428, 62.177588221197645, 1.867404033526455e6, 725788.2369806485, 24855.541289889505]]"
water_tesource_management,TPESampler,"Any[[67200.66212124978, 98.11845587353325, 1.1815112616695291e6, 1.8880783973456952e6, 24903.130621666067]]"
water_tesource_management,TPESampler,"Any[[63874.99428340876, 399.6560051158602, 289159.1077724162, 6.552890237773072e6, 24999.687925205308]]"
water_tesource_management,TPESampler,"Any[[63898.19120256549, 392.48583095854553, 294509.1275503063, 6.506150202749968e6, 24997.4636177929]]"
water_tesource_management,TPESampler,"Any[[67219.10538294946, 98.60886915108334, 1.1861586527552158e6, 1.8760774446007858e6, 24676.693727354497]]"
water_tesource_management,TPESampler,"Any[[65216.625052374315, 177.43578738465555, 653101.4017913438, 3.9394405561237326e6, 24905.27964877461]]"
water_tesource_management,TPESampler,"Any[[64697.40707971556, 284.53914364492505, 511918.83188777365, 4.799712446055763e6, 19668.088265692826]]"
water_tesource_management,TPESampler,"Any[[66686.94821859244, 111.63265473939798, 1.0391255678246147e6, 2.3063832399085765e6, 24909.244096859577]]"
water_tesource_management,TPESampler,"Any[[72848.66399516808, 1022.035643749643, 2.6899885559835015e6, 230956.73326941932, 328.48390722898773]]"
water_tesource_management,TPESampler,"Any[[70097.56038718556, 1273.763997993907, 1.9562332521011843e6, 641552.1345532619, 434.1628344965052]]"
water_tesource_management,TPESampler,"Any[[65276.21985433273, 173.00535838962233, 667674.2216709261, 3.862086001744736e6, 24993.87965535724]]"
water_tesource_management,TPESampler,"Any[[67143.80878593009, 98.8756960429195, 1.1680355387428068e6, 1.9227108617303586e6, 24992.956949817955]]"
water_tesource_management,TPESampler,"Any[[69795.48056817672, 1275.724690273431, 1.8746445191670053e6, 718989.5962152912, 487.947979890059]]"
water_tesource_management,TPESampler,"Any[[71789.88364999817, 855.289718473318, 2.409546449761497e6, 341051.2319299579, 679.1246298085525]]"
water_tesource_management,TPESampler,"Any[[64713.220508970095, 227.13115794978864, 515500.33319339907, 4.776893133090323e6, 24654.933700138652]]"
water_tesource_management,TPESampler,"Any[[67137.95656881643, 99.24755335710043, 1.1641281124289483e6, 1.9347776094322884e6, 24992.724469636465]]"
water_tesource_management,TPESampler,"Any[[65259.24286681655, 173.96021599539264, 663971.9404546195, 3.8809321757195033e6, 24991.72089690825]]"
water_tesource_management,TPESampler,"Any[[65169.13563284598, 180.5133172970399, 639904.6933531105, 4.013236047307403e6, 24990.19405373893]]"
water_tesource_management,TPESampler,"Any[[65996.80433939517, 136.02284370213286, 860746.0920649631, 2.9507898078555716e6, 24646.351656968494]]"
