algorithm_name,sampler,solutions
simply_supported_I_beam_design,TPESampler,"Any[[127.76252861386556, 0.05483019466351864]]"
simply_supported_I_beam_design,TPESampler,"Any[[849.9980252957108, 0.005902623840863322]]"
simply_supported_I_beam_design,TPESampler,"Any[[176.28298520646854, 0.02493381713723575]]"
simply_supported_I_beam_design,TPESampler,"Any[[128.07962266167846, 0.0528913562820448]]"
simply_supported_I_beam_design,TPESampler,"Any[[128.2084143857033, 0.052866541354912276]]"
simply_supported_I_beam_design,TPESampler,"Any[[128.35553579863674, 0.05039184321579745]]"
simply_supported_I_beam_design,TPESampler,"Any[[847.6362943147835, 0.005909398663897002]]"
simply_supported_I_beam_design,TPESampler,"Any[[128.42256928203074, 0.05026718659875149]]"
simply_supported_I_beam_design,TPESampler,"Any[[842.7914427250646, 0.005923308262609627]]"
simply_supported_I_beam_design,TPESampler,"Any[[128.56959392335932, 0.05010617206894053]]"
simply_supported_I_beam_design,TPESampler,"Any[[128.57740564108715, 0.04944527417026998]]"
simply_supported_I_beam_design,TPESampler,"Any[[840.3830523168472, 0.005932620467912202]]"
simply_supported_I_beam_design,TPESampler,"Any[[128.5832618393324, 0.04921716067181831]]"
simply_supported_I_beam_design,TPESampler,"Any[[835.9345976626954, 0.005942904537247594]]"
simply_supported_I_beam_design,TPESampler,"Any[[128.75847288184605, 0.04911910375923734]]"
simply_supported_I_beam_design,TPESampler,"Any[[128.76911354520382, 0.04846521867141364]]"
simply_supported_I_beam_design,TPESampler,"Any[[128.79786460558896, 0.04841856818134464]]"
simply_supported_I_beam_design,TPESampler,"Any[[128.84147296937465, 0.047857587560378737]]"
simply_supported_I_beam_design,TPESampler,"Any[[128.90470233949398, 0.04782344805724262]]"
simply_supported_I_beam_design,TPESampler,"Any[[129.00412457346835, 0.04737933279876492]]"
simply_supported_I_beam_design,TPESampler,"Any[[832.7105588897358, 0.005952233326198498]]"
simply_supported_I_beam_design,TPESampler,"Any[[827.7134530179071, 0.005966732815922839]]"
simply_supported_I_beam_design,TPESampler,"Any[[819.6424317290723, 0.0059904149163028855]]"
simply_supported_I_beam_design,TPESampler,"Any[[815.4038332852174, 0.006002731169159981]]"
simply_supported_I_beam_design,TPESampler,"Any[[812.2897668067134, 0.006012083131260462]]"
simply_supported_I_beam_design,TPESampler,"Any[[129.49244674930605, 0.04694469412839479]]"
simply_supported_I_beam_design,TPESampler,"Any[[129.51521259956294, 0.04528933037236352]]"
simply_supported_I_beam_design,TPESampler,"Any[[129.69267260585525, 0.0451265209850184]]"
simply_supported_I_beam_design,TPESampler,"Any[[129.7172394528318, 0.044596671576222886]]"
simply_supported_I_beam_design,TPESampler,"Any[[809.6827021220977, 0.006019666033032389]]"
simply_supported_I_beam_design,TPESampler,"Any[[129.8681987202162, 0.04457139487538195]]"
simply_supported_I_beam_design,TPESampler,"Any[[129.92244311939692, 0.04423118142054224]]"
simply_supported_I_beam_design,TPESampler,"Any[[796.3917309405448, 0.0060598837617565834]]"
simply_supported_I_beam_design,TPESampler,"Any[[130.01874869792016, 0.04409829123722494]]"
simply_supported_I_beam_design,TPESampler,"Any[[130.08500136163147, 0.04385661059968743]]"
simply_supported_I_beam_design,TPESampler,"Any[[793.3990853626715, 0.006068192047236516]]"
simply_supported_I_beam_design,TPESampler,"Any[[789.1895353256252, 0.00608287184008101]]"
simply_supported_I_beam_design,TPESampler,"Any[[130.3483459129228, 0.04358529297330345]]"
simply_supported_I_beam_design,TPESampler,"Any[[785.8729720254529, 0.0060912773321390385]]"
simply_supported_I_beam_design,TPESampler,"Any[[130.46087670981524, 0.04343193886489243]]"
simply_supported_I_beam_design,TPESampler,"Any[[130.5996736743426, 0.042153390559539275]]"
simply_supported_I_beam_design,TPESampler,"Any[[781.707026843369, 0.006103800767411584]]"
simply_supported_I_beam_design,TPESampler,"Any[[776.4979006656309, 0.006120013008801272]]"
simply_supported_I_beam_design,TPESampler,"Any[[768.0194169469735, 0.006145519825967224]]"
simply_supported_I_beam_design,TPESampler,"Any[[762.2570813278627, 0.0061648653648807865]]"
simply_supported_I_beam_design,TPESampler,"Any[[747.7374992501616, 0.006208666319450757]]"
simply_supported_I_beam_design,TPESampler,"Any[[130.88839709956721, 0.04198613865616148]]"
simply_supported_I_beam_design,TPESampler,"Any[[130.9058718913073, 0.04129075832537902]]"
simply_supported_I_beam_design,TPESampler,"Any[[743.308205701821, 0.006222694223555524]]"
simply_supported_I_beam_design,TPESampler,"Any[[737.6811140201261, 0.0062405390961755665]]"
simply_supported_I_beam_design,TPESampler,"Any[[131.241783579968, 0.040989902917631944]]"
simply_supported_I_beam_design,TPESampler,"Any[[131.3020711206945, 0.04072823812748881]]"
simply_supported_I_beam_design,TPESampler,"Any[[131.3020711206945, 0.04072823812748881]]"
simply_supported_I_beam_design,TPESampler,"Any[[131.42890964796607, 0.039951916742517815]]"
