algorithm_name,sampler,solutions
gear_box_design,TPESampler,"Any[[5812.282364398699, 695.7456390438169, 754.533982910353]]"
gear_box_design,TPESampler,"Any[[2888.80274648548, 901.9681587664851, 1004.7615456182881]]"
gear_box_design,TPESampler,"Any[[2845.7584263119015, 1076.5732999566749, 989.6120957067166]]"
gear_box_design,TPESampler,"Any[[3026.3924821452442, 697.8944304965505, 967.8744073058431]]"
gear_box_design,TPESampler,"Any[[2974.0908873590024, 795.8568853083616, 968.3144765753782]]"
gear_box_design,TPESampler,"Any[[3196.536189285659, 1012.5681839769437, 754.9309383868483]]"
gear_box_design,TPESampler,"Any[[3019.4539653405946, 722.5639240750708, 965.5834715393871]]"
gear_box_design,TPESampler,"Any[[3163.8839522841895, 1079.8852559239656, 755.6071991587987]]"
gear_box_design,TPESampler,"Any[[3142.2886455149846, 1138.5369618534435, 756.0005788443713]]"
gear_box_design,TPESampler,"Any[[3141.851921512236, 1130.1967356908406, 756.0007602365645]]"
gear_box_design,TPESampler,"Any[[3140.730633256674, 1138.5389730898194, 756.9401199756627]]"
gear_box_design,TPESampler,"Any[[2954.3020472859403, 836.0573487325508, 964.9010865848811]]"
gear_box_design,TPESampler,"Any[[3184.4503987802523, 954.2157939924267, 757.6326513725312]]"
gear_box_design,TPESampler,"Any[[2886.930610637741, 906.7381614844804, 1004.7603833718603]]"
gear_box_design,TPESampler,"Any[[3138.292904004213, 1137.9991284854566, 758.0615961110005]]"
gear_box_design,TPESampler,"Any[[3884.1052501316226, 696.5229944541617, 759.1451971227252]]"
gear_box_design,TPESampler,"Any[[2993.486110864382, 704.7802379691396, 1004.7538990720645]]"
gear_box_design,TPESampler,"Any[[2937.27109842445, 874.4464741776654, 964.8166341616748]]"
gear_box_design,TPESampler,"Any[[3098.485321520806, 1271.492204154495, 760.0965790473603]]"
gear_box_design,TPESampler,"Any[[3182.0333003053224, 961.5533587018491, 760.9537589407178]]"
gear_box_design,TPESampler,"Any[[3264.879836675999, 784.7743148099029, 761.8118563472734]]"
gear_box_design,TPESampler,"Any[[2993.8441401245254, 704.2171018716074, 1004.7538990720645]]"
gear_box_design,TPESampler,"Any[[2993.8441401245254, 704.2171018716074, 1004.7538990720645]]"
gear_box_design,TPESampler,"Any[[2993.8441401245254, 704.2171018716074, 1004.7538990720645]]"
gear_box_design,TPESampler,"Any[[3165.4129529771385, 1012.5874566379164, 762.0098459963455]]"
gear_box_design,TPESampler,"Any[[3308.46067996802, 698.1974351035436, 762.892175908048]]"
gear_box_design,TPESampler,"Any[[3223.3183547329813, 846.8710068511317, 764.3995509597889]]"
gear_box_design,TPESampler,"Any[[3263.02436182926, 779.4104597486357, 765.4826305676067]]"
gear_box_design,TPESampler,"Any[[3264.494828288138, 779.3948841812357, 765.4935014745832]]"
gear_box_design,TPESampler,"Any[[3122.6302211818543, 1098.7894083919794, 767.1868273393748]]"
gear_box_design,TPESampler,"Any[[2917.58294266416, 934.9259280051374, 964.0909793661839]]"
gear_box_design,TPESampler,"Any[[3280.8154659722873, 718.0937870424838, 768.1019448349246]]"
gear_box_design,TPESampler,"Any[[3210.416808241637, 882.9505029742437, 768.4331338996291]]"
gear_box_design,TPESampler,"Any[[2873.8693278669675, 1074.6661205103871, 963.6850711728501]]"
gear_box_design,TPESampler,"Any[[2994.3521800171557, 700.0454615536705, 1004.7536692684833]]"
gear_box_design,TPESampler,"Any[[2888.606000252524, 901.9683105392606, 1004.7308278459839]]"
gear_box_design,TPESampler,"Any[[2910.9547040506977, 848.0971081008469, 1004.7261456165543]]"
gear_box_design,TPESampler,"Any[[3258.1543804459225, 771.9125136964766, 769.3930353326119]]"
gear_box_design,TPESampler,"Any[[3150.473204209106, 997.320481235189, 770.6141410868895]]"
gear_box_design,TPESampler,"Any[[3148.992350669247, 998.0600970801268, 771.3926222024029]]"
gear_box_design,TPESampler,"Any[[3153.9057171620843, 980.6262950026783, 771.8063302807682]]"
gear_box_design,TPESampler,"Any[[2973.954386232994, 795.857361913614, 968.3145561978145]]"
gear_box_design,TPESampler,"Any[[2975.717777147814, 792.0783455193927, 963.5918856701874]]"
gear_box_design,TPESampler,"Any[[2975.717777147814, 792.0783455193927, 963.5918856701874]]"
gear_box_design,TPESampler,"Any[[2876.9831257250607, 933.072499018343, 1004.718393809039]]"
gear_box_design,TPESampler,"Any[[2930.0962790783165, 806.6026067342025, 1004.718393809039]]"
gear_box_design,TPESampler,"Any[[2912.805344709329, 839.8859028990449, 1004.7183911544662]]"
gear_box_design,TPESampler,"Any[[2878.803860505955, 927.5004307411915, 1004.7166009873821]]"
gear_box_design,TPESampler,"Any[[2867.4402921823435, 945.8139485536658, 1004.7162134489151]]"
gear_box_design,TPESampler,"Any[[3117.7375861484747, 1123.2562797681512, 773.1291628424982]]"
gear_box_design,TPESampler,"Any[[3166.0739742315664, 965.0874063331497, 774.2773717301927]]"
gear_box_design,TPESampler,"Any[[2867.5719779484607, 945.8134633798941, 1004.716211333378]]"
gear_box_design,TPESampler,"Any[[3207.065883311773, 847.2470497916856, 774.5589885972528]]"
gear_box_design,TPESampler,"Any[[3205.800545362249, 847.2470497916856, 775.3544367203378]]"
gear_box_design,TPESampler,"Any[[3116.263131133402, 1123.2562797681512, 776.2767060423586]]"
gear_box_design,TPESampler,"Any[[3165.3190628227985, 913.4251732624899, 777.2830159691406]]"
gear_box_design,TPESampler,"Any[[3148.254059513888, 957.2096186888566, 777.2830163027236]]"
gear_box_design,TPESampler,"Any[[3144.24721662151, 981.5161276674946, 778.3361593525448]]"
gear_box_design,TPESampler,"Any[[3025.688747789411, 705.1609501206259, 962.7957679494061]]"
gear_box_design,TPESampler,"Any[[3074.4904732212026, 1231.7515422233382, 779.1413945264361]]"
gear_box_design,TPESampler,"Any[[3239.420242939766, 779.4104597486357, 780.2503845906639]]"
gear_box_design,TPESampler,"Any[[3036.751926055016, 697.8338788175818, 962.6915412206916]]"
gear_box_design,TPESampler,"Any[[2923.618873992305, 935.9801159248594, 962.4538187173035]]"
gear_box_design,TPESampler,"Any[[2864.429228647714, 953.7815784542075, 1004.7162038347037]]"
gear_box_design,TPESampler,"Any[[2864.5397507322186, 953.786505493138, 1004.7161736993421]]"
gear_box_design,TPESampler,"Any[[3244.9215586460114, 736.2797372065271, 781.1848013803461]]"
gear_box_design,TPESampler,"Any[[3129.1714812717346, 1053.598523399452, 782.2359312125751]]"
gear_box_design,TPESampler,"Any[[3033.341567580246, 697.9486854374682, 961.6430720279243]]"
gear_box_design,TPESampler,"Any[[3013.879479790087, 737.5061265437314, 961.4684140544276]]"
gear_box_design,TPESampler,"Any[[2860.5110534017617, 1145.7862001735268, 961.0122623303546]]"
gear_box_design,TPESampler,"Any[[2854.9729405697954, 983.3752042346265, 1004.7161584386505]]"
gear_box_design,TPESampler,"Any[[2869.0316247774417, 941.8827296994098, 1004.7161303828651]]"
gear_box_design,TPESampler,"Any[[2859.7937886886116, 968.7871443437583, 1004.7161126735867]]"
