algorithm_name,sampler,solutions
multiple_disk_clutch_brake_design,TPESampler,"Any[[0.23530193392079055, 0.014918715150732037]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.3968312291986327, 0.00278366700442207]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[0.40303494564432574, 0.007212539630606756]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.3839040621972, 0.002787663809109313]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[0.2361341564803565, 0.014841388798584747]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.3679916210414702, 0.0027922164556135917]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.3583996820790485, 0.0027951488257887134]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[0.23709742544565265, 0.01478355396074887]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.3441333780494638, 0.002799409624889926]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.3383870274606111, 0.0028011092606900507]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.3349172378903624, 0.0028021674789136994]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.3315780427363968, 0.00280316634197243]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.317536405288997, 0.0028077233427493877]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[0.23834646878439705, 0.014635420388165505]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.314669257039678, 0.002808598389984897]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.307237841255457, 0.0028106230415865818]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.3019139167899367, 0.002812320640142866]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.289041614953258, 0.0028161745309557584]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.2848299591182093, 0.00281743439280298]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.2751763640662204, 0.0028203765718012117]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[1.2659630977786405, 0.0028232391650886528]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[0.2404771754654329, 0.014448270446467017]]"
multiple_disk_clutch_brake_design,TPESampler,"Any[[0.24118164374874154, 0.014410229200944057]]"
