algorithm_name,sampler,solutions
spring_design,TPESampler,"Any[[4.237878280297991, 146471.97594022562]]"
spring_design,TPESampler,"Any[[14.76005682654552, 76369.58920087702]]"
spring_design,TPESampler,"Any[[3.6734979348206336, 158896.58199578014]]"
spring_design,TPESampler,"Any[[3.8547730667169224, 155524.93431171824]]"
spring_design,TPESampler,"Any[[6.2012742082830075, 121212.15588689329]]"
spring_design,TPESampler,"Any[[3.6734979348206336, 158896.58199578014]]"
spring_design,TPESampler,"Any[[4.210606669680608, 150025.66719622075]]"
spring_design,TPESampler,"Any[[6.2012742082830075, 121212.15588689329]]"
spring_design,TPESampler,"Any[[8.439896413523659, 102201.98529912741]]"
spring_design,TPESampler,"Any[[10.104743780560844, 92702.88730022595]]"
spring_design,TPESampler,"Any[[8.855501894699447, 99936.54713308346]]"
spring_design,TPESampler,"Any[[24.769555705835288, 59325.39322827862]]"
spring_design,TPESampler,"Any[[4.721003161545368, 139049.27229747156]]"
spring_design,TPESampler,"Any[[5.183243188984873, 133450.64329467682]]"
spring_design,TPESampler,"Any[[2.9038050831767133, 179210.1074130733]]"
spring_design,TPESampler,"Any[[3.9904091650142854, 151302.50212542305]]"
spring_design,TPESampler,"Any[[11.358733483979378, 87144.64525025722]]"
spring_design,TPESampler,"Any[[22.254933930780673, 62016.75151011882]]"
spring_design,TPESampler,"Any[[11.965352311979647, 84970.9703480637]]"
spring_design,TPESampler,"Any[[9.456663227332648, 96386.41988097009]]"
spring_design,TPESampler,"Any[[9.266837719712889, 97973.42591914951]]"
spring_design,TPESampler,"Any[[13.701518716580447, 79891.80571561198]]"
spring_design,TPESampler,"Any[[6.67028368309443, 115740.614529089]]"
spring_design,TPESampler,"Any[[3.8547730667169224, 155524.93431171824]]"
spring_design,TPESampler,"Any[[23.943469874368418, 60140.15033301292]]"
spring_design,TPESampler,"Any[[26.383634643223083, 57881.49861669253]]"
spring_design,TPESampler,"Any[[2.9038050831767133, 179210.1074130733]]"
spring_design,TPESampler,"Any[[6.2012742082830075, 121212.15588689329]]"
spring_design,TPESampler,"Any[[26.383634643223083, 57881.49861669253]]"
spring_design,TPESampler,"Any[[8.012069395612816, 104778.56445172698]]"
spring_design,TPESampler,"Any[[15.77145098121748, 73409.00083081562]]"
spring_design,TPESampler,"Any[[6.363307869854117, 118688.99038149284]]"
spring_design,TPESampler,"Any[[4.481791398358161, 142464.3890480506]]"
spring_design,TPESampler,"Any[[6.98576501934455, 113832.0832386218]]"
spring_design,TPESampler,"Any[[5.7111630592465845, 125098.00328607512]]"
spring_design,TPESampler,"Any[[3.8547730667169224, 155524.93431171824]]"
spring_design,TPESampler,"Any[[23.105078988581987, 61032.07180407222]]"
spring_design,TPESampler,"Any[[27.16748754949899, 57229.80604414337]]"
spring_design,TPESampler,"Any[[5.374538587092029, 129219.6930059234]]"
spring_design,TPESampler,"Any[[7.127073212901592, 111365.13221897057]]"
spring_design,TPESampler,"Any[[26.383634643223083, 57881.49861669253]]"
spring_design,TPESampler,"Any[[18.671247265741425, 67178.20777167076]]"
spring_design,TPESampler,"Any[[18.671247265741425, 67178.20777167076]]"
spring_design,TPESampler,"Any[[3.6734979348206336, 158896.58199578014]]"
spring_design,TPESampler,"Any[[3.8547730667169224, 155524.93431171824]]"
spring_design,TPESampler,"Any[[8.855501894699447, 99936.54713308346]]"
spring_design,TPESampler,"Any[[15.346077095680982, 76247.04691603428]]"
spring_design,TPESampler,"Any[[2.9038050831767133, 179210.1074130733]]"
spring_design,TPESampler,"Any[[4.675954297903804, 140520.83755255063]]"
spring_design,TPESampler,"Any[[4.210606669680608, 150025.66719622075]]"
spring_design,TPESampler,"Any[[8.855501894699447, 99936.54713308346]]"
spring_design,TPESampler,"Any[[3.8547730667169224, 155524.93431171824]]"
spring_design,TPESampler,"Any[[25.580335703675292, 58571.621598232836]]"
spring_design,TPESampler,"Any[[2.712731407023074, 188118.4554546567]]"
spring_design,TPESampler,"Any[[21.383225081049243, 63092.4866865436]]"
spring_design,TPESampler,"Any[[3.0750658984303954, 176426.9796847513]]"
spring_design,TPESampler,"Any[[3.297531882528289, 167275.07718837596]]"
spring_design,TPESampler,"Any[[12.55458554079279, 83058.54661263354]]"
