algorithm_name,sampler,solutions
cantilever_beam_design,TPESampler,"Any[[0.0435919299980522, 0.00020246282680298107]]"
cantilever_beam_design,TPESampler,"Any[[12.252211349002248, 2.562881531271743e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.14294868600011001, 1.8827695057786884e-5]]"
cantilever_beam_design,TPESampler,"Any[[12.18025626394197, 2.593251512147034e-9]]"
cantilever_beam_design,TPESampler,"Any[[12.134083608085362, 2.6130247590718072e-9]]"
cantilever_beam_design,TPESampler,"Any[[12.089193523011092, 2.632466367526925e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.04376535559478461, 0.00020086143867323054]]"
cantilever_beam_design,TPESampler,"Any[[12.059703620945962, 2.645356583523409e-9]]"
cantilever_beam_design,TPESampler,"Any[[12.033273630632825, 2.656989915098603e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.04383692940705836, 0.0002002060692181546]]"
cantilever_beam_design,TPESampler,"Any[[0.043929918800085455, 0.00019935938952733308]]"
cantilever_beam_design,TPESampler,"Any[[0.04396248534346275, 0.00019906413368086747]]"
cantilever_beam_design,TPESampler,"Any[[0.04408152996371835, 0.0001979904177889044]]"
cantilever_beam_design,TPESampler,"Any[[0.04413886172436196, 0.00019747641473120246]]"
cantilever_beam_design,TPESampler,"Any[[0.04422484257613694, 0.00019670930303063798]]"
cantilever_beam_design,TPESampler,"Any[[12.001182924101446, 2.6712183347692397e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.04427585190149026, 0.00019625634560028072]]"
cantilever_beam_design,TPESampler,"Any[[0.044347741662797036, 0.00019562055071895902]]"
cantilever_beam_design,TPESampler,"Any[[11.937460826468085, 2.6998123029955766e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.044416122245903474, 0.00019501868355392395]]"
cantilever_beam_design,TPESampler,"Any[[0.044515711081573824, 0.00019414708031015006]]"
cantilever_beam_design,TPESampler,"Any[[0.04458782234281368, 0.0001935196043430611]]"
cantilever_beam_design,TPESampler,"Any[[0.04471932081516354, 0.00019238318129686477]]"
cantilever_beam_design,TPESampler,"Any[[0.044794963422663335, 0.0001917339936581792]]"
cantilever_beam_design,TPESampler,"Any[[0.04488356928726333, 0.0001909777269910298]]"
cantilever_beam_design,TPESampler,"Any[[0.04503880325872818, 0.00018966352001859965]]"
cantilever_beam_design,TPESampler,"Any[[11.85463880565586, 2.737668372410179e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.0450541691615358, 0.00018953417110841185]]"
cantilever_beam_design,TPESampler,"Any[[0.0451833484779577, 0.00018845196303631236]]"
cantilever_beam_design,TPESampler,"Any[[11.794567732651936, 2.765625901998209e-9]]"
cantilever_beam_design,TPESampler,"Any[[11.783208491826832, 2.7709607019372602e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.04523741656654164, 0.00018800175390246634]]"
cantilever_beam_design,TPESampler,"Any[[0.04536772289911807, 0.000186923339394063]]"
cantilever_beam_design,TPESampler,"Any[[0.045422254946628896, 0.00018647478273725498]]"
cantilever_beam_design,TPESampler,"Any[[11.735333693904732, 2.793615340425714e-9]]"
cantilever_beam_design,TPESampler,"Any[[11.605532737717725, 2.8564546200574794e-9]]"
cantilever_beam_design,TPESampler,"Any[[11.547087626926011, 2.885443453748912e-9]]"
cantilever_beam_design,TPESampler,"Any[[11.50165612734334, 2.9082838037071243e-9]]"
cantilever_beam_design,TPESampler,"Any[[11.429670177498645, 2.945032584285487e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.045610498102208574, 0.00018493872607789708]]"
cantilever_beam_design,TPESampler,"Any[[0.045866229635744805, 0.000182882189479191]]"
cantilever_beam_design,TPESampler,"Any[[0.046019115607749655, 0.00018166905394316355]]"
cantilever_beam_design,TPESampler,"Any[[0.04610477105973907, 0.0001809946556656557]]"
cantilever_beam_design,TPESampler,"Any[[0.04628190877839747, 0.0001796118483607282]]"
cantilever_beam_design,TPESampler,"Any[[11.40019034005926, 2.960283373692442e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.046322798584151656, 0.00017929489004587504]]"
cantilever_beam_design,TPESampler,"Any[[0.04645086589692954, 0.00017830760334601188]]"
cantilever_beam_design,TPESampler,"Any[[0.04656303808119044, 0.00017744953916528863]]"
cantilever_beam_design,TPESampler,"Any[[0.04669658827942059, 0.0001764359937263696]]"
cantilever_beam_design,TPESampler,"Any[[0.04674933038642784, 0.00017603811180500443]]"
cantilever_beam_design,TPESampler,"Any[[11.294118043709332, 3.0161514906759434e-9]]"
cantilever_beam_design,TPESampler,"Any[[11.208920582237667, 3.062174296290285e-9]]"
cantilever_beam_design,TPESampler,"Any[[11.153448497054244, 3.0927097845667054e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.046870018564165804, 0.000175132698649735]]"
cantilever_beam_design,TPESampler,"Any[[11.054572525637134, 3.1482816990676565e-9]]"
cantilever_beam_design,TPESampler,"Any[[11.004427067096552, 3.177039526683302e-9]]"
cantilever_beam_design,TPESampler,"Any[[10.95867603530291, 3.203622349632254e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.047078490363304894, 0.0001735869650570376]]"
cantilever_beam_design,TPESampler,"Any[[0.047126449787650904, 0.00017323197328670498]]"
cantilever_beam_design,TPESampler,"Any[[0.047381197741604875, 0.0001713741925805433]]"
cantilever_beam_design,TPESampler,"Any[[10.912613637659124, 3.230724560553588e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.047460078190767425, 0.0001708050050080309]]"
cantilever_beam_design,TPESampler,"Any[[0.04752698107843224, 0.0001703244650048942]]"
cantilever_beam_design,TPESampler,"Any[[0.04757843429187891, 0.00016995627288311603]]"
cantilever_beam_design,TPESampler,"Any[[0.04764087031391508, 0.00016951109208166313]]"
cantilever_beam_design,TPESampler,"Any[[10.868215482505796, 3.25717437826478e-9]]"
cantilever_beam_design,TPESampler,"Any[[10.81522544716621, 3.289170134785794e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.04780886993773627, 0.00016832186489833858]]"
cantilever_beam_design,TPESampler,"Any[[0.04790388160779039, 0.00016765483610704882]]"
cantilever_beam_design,TPESampler,"Any[[0.04802327434067588, 0.00016682224254450527]]"
cantilever_beam_design,TPESampler,"Any[[0.048106624246594225, 0.00016624466834357793]]"
cantilever_beam_design,TPESampler,"Any[[10.762923941834801, 3.3212146795501772e-9]]"
cantilever_beam_design,TPESampler,"Any[[10.720204192828819, 3.347739574491193e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.04824757733791975, 0.0001652747348236799]]"
cantilever_beam_design,TPESampler,"Any[[10.697615895376414, 3.3618899380975206e-9]]"
cantilever_beam_design,TPESampler,"Any[[10.654639267071875, 3.3890662634620805e-9]]"
cantilever_beam_design,TPESampler,"Any[[10.64414251093443, 3.395753298977403e-9]]"
cantilever_beam_design,TPESampler,"Any[[10.5784964468596, 3.4380295246965403e-9]]"
cantilever_beam_design,TPESampler,"Any[[10.4882981770862, 3.497417186242595e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.04852366687562343, 0.00016339941580886767]]"
cantilever_beam_design,TPESampler,"Any[[0.04859249527251029, 0.00016293676541110285]]"
cantilever_beam_design,TPESampler,"Any[[0.04868643735108001, 0.00016230858783004574]]"
cantilever_beam_design,TPESampler,"Any[[0.04884048149439189, 0.00016128635164421086]]"
cantilever_beam_design,TPESampler,"Any[[10.355895711434597, 3.5874194233544915e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.04895820742662186, 0.00016051161885298506]]"
cantilever_beam_design,TPESampler,"Any[[0.04903991372547019, 0.00015997720175680064]]"
cantilever_beam_design,TPESampler,"Any[[0.049154744623975746, 0.00015923062617944272]]"
cantilever_beam_design,TPESampler,"Any[[0.049256059266403376, 0.00015857625775233966]]"
cantilever_beam_design,TPESampler,"Any[[10.20405492520449, 3.694978507353091e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.049352461047113494, 0.00015795735856056692]]"
cantilever_beam_design,TPESampler,"Any[[0.049494404439179164, 0.00015705265597803245]]"
cantilever_beam_design,TPESampler,"Any[[0.04968003654015785, 0.00015588117750264466]]"
cantilever_beam_design,TPESampler,"Any[[10.157432152850056, 3.728976374101307e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.049756844144257066, 0.00015540029422032758]]"
cantilever_beam_design,TPESampler,"Any[[0.049819117178262234, 0.00015501204162650874]]"
cantilever_beam_design,TPESampler,"Any[[10.077847425318664, 3.788104353293141e-9]]"
cantilever_beam_design,TPESampler,"Any[[9.964843132019034, 3.874507978771637e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.049955161780027145, 0.00015416889320535212]]"
cantilever_beam_design,TPESampler,"Any[[0.05007627548589736, 0.00015342405620379033]]"
cantilever_beam_design,TPESampler,"Any[[9.893343279904867, 3.9307134426850535e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.05013529993562779, 0.00015306301843627147]]"
cantilever_beam_design,TPESampler,"Any[[0.05025645781011279, 0.00015232590013983932]]"
cantilever_beam_design,TPESampler,"Any[[9.847541899137687, 3.96736188649427e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.05036285559141645, 0.0001516829968370141]]"
cantilever_beam_design,TPESampler,"Any[[9.801569229042896, 4.0046657578844625e-9]]"
cantilever_beam_design,TPESampler,"Any[[9.745115213964027, 4.051198615280996e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.05047974571032894, 0.00015098130488645008]]"
cantilever_beam_design,TPESampler,"Any[[0.050693711852835895, 0.00014970948211069413]]"
cantilever_beam_design,TPESampler,"Any[[9.69806921105752, 4.090602263370982e-9]]"
cantilever_beam_design,TPESampler,"Any[[0.05078424833772153, 0.00014917616410765127]]"
cantilever_beam_design,TPESampler,"Any[[0.051088184202664526, 0.0001474080540233582]]"
cantilever_beam_design,TPESampler,"Any[[0.05122547227641324, 0.00014661741201034233]]"
