algorithm_name,sampler,solutions
bulk_carriers_design,TPESampler,"Any[[-1.0102798296754296e9, 5953.739090842462, 0.0033479922926578664]]"
bulk_carriers_design,TPESampler,"Any[[-11398.590706868521, 4595.641380291678, 255.3351827582389]]"
bulk_carriers_design,TPESampler,"Any[[-7763.11279758973, 4244.013198379302, 356.1465213663378]]"
bulk_carriers_design,TPESampler,"Any[[-9626.499254481676, 4444.864937349172, 296.4802135704904]]"
bulk_carriers_design,TPESampler,"Any[[-7097.915308694573, 4153.188219809942, 383.6453371871151]]"
bulk_carriers_design,TPESampler,"Any[[-15539.152497612014, 4829.738824007508, 193.63049794824568]]"
bulk_carriers_design,TPESampler,"Any[[-19521.198944094296, 4938.201435165006, 156.20335135883897]]"
bulk_carriers_design,TPESampler,"Any[[-7.691275852210893e6, 5461.340481298264, 0.4226214397175115]]"
bulk_carriers_design,TPESampler,"Any[[-4.4327352563180774e7, 5682.8998990780865, 0.07433715996582736]]"
bulk_carriers_design,TPESampler,"Any[[-4.857895560075076e7, 5826.727880258637, 0.0686836435199233]]"
bulk_carriers_design,TPESampler,"Any[[-9687.046251632362, 4448.186821579213, 294.32914735898623]]"
bulk_carriers_design,TPESampler,"Any[[-2.396580953986681e9, 6084.444246678205, 0.001420817469953975]]"
bulk_carriers_design,TPESampler,"Any[[-6407.477967757371, 4006.4427553483943, 416.2540773173074]]"
bulk_carriers_design,TPESampler,"Any[[-17830.149459457363, 4881.573329855299, 169.82329490361033]]"
bulk_carriers_design,TPESampler,"Any[[-29364.676227784883, 5082.180473399402, 105.91484789389654]]"
bulk_carriers_design,TPESampler,"Any[[-11150.101315630256, 4577.026526629789, 260.51633612647555]]"
bulk_carriers_design,TPESampler,"Any[[-8320.16763860524, 4291.476448850674, 335.0354594393168]]"
bulk_carriers_design,TPESampler,"Any[[-40002.95202856976, 5173.198646321688, 78.56198551759424]]"
bulk_carriers_design,TPESampler,"Any[[-11653.889846688659, 4622.052217900407, 250.5186913994408]]"
bulk_carriers_design,TPESampler,"Any[[-66727.84122951985, 5263.339345737896, 47.63666709910596]]"
bulk_carriers_design,TPESampler,"Any[[12822.04166027942, 6491.237454448594, -281.1148709568976]]"
bulk_carriers_design,TPESampler,"Any[[17500.86621195364, 6135.727493934966, -199.49954241298508]]"
bulk_carriers_design,TPESampler,"Any[[-13711.25862526823, 4723.267251896244, 216.17914270404276]]"
bulk_carriers_design,TPESampler,"Any[[-6725.896094459608, 4057.693641152901, 399.3913866415175]]"
bulk_carriers_design,TPESampler,"Any[[-10145.160561514987, 4491.96782081198, 282.87824340327103]]"
bulk_carriers_design,TPESampler,"Any[[-11968.731943036159, 4629.778276781344, 244.3799793203787]]"
bulk_carriers_design,TPESampler,"Any[[-71528.00426553155, 5296.475371773741, 44.58232767564258]]"
bulk_carriers_design,TPESampler,"Any[[75151.16351041986, 5563.238645027841, -43.821390380594664]]"
bulk_carriers_design,TPESampler,"Any[[-8191.953675635562, 4279.686571247624, 339.5605070514338]]"
bulk_carriers_design,TPESampler,"Any[[-12393.07911794359, 4653.05858845542, 237.2226478191605]]"
bulk_carriers_design,TPESampler,"Any[[-7095.177506428841, 4153.1871043257015, 383.7943159855002]]"
bulk_carriers_design,TPESampler,"Any[[-7834.13640079707, 4245.806949511815, 353.2442393602585]]"
bulk_carriers_design,TPESampler,"Any[[-6012.302330591084, 3897.1617052531965, 435.817971273121]]"
bulk_carriers_design,TPESampler,"Any[[-7735.301359525943, 4234.421700614525, 356.90719615597436]]"
bulk_carriers_design,TPESampler,"Any[[65125.77091469599, 5591.763797769041, -50.67937748403848]]"
bulk_carriers_design,TPESampler,"Any[[-184078.00470593668, 5377.6495138827395, 17.495090845558742]]"
bulk_carriers_design,TPESampler,"Any[[-7229.063194088544, 4175.768239593048, 377.9755856743483]]"
bulk_carriers_design,TPESampler,"Any[[8904.85171559656, 7469.970308494703, -434.320975521184]]"
bulk_carriers_design,TPESampler,"Any[[15828.500983715452, 6208.795786580888, -222.20999019840875]]"
bulk_carriers_design,TPESampler,"Any[[9635.400998165702, 6853.204551358929, -386.09972922671363]]"
bulk_carriers_design,TPESampler,"Any[[-4094.577015404556, 3725.1193278122223, 634.0153770054912]]"
bulk_carriers_design,TPESampler,"Any[[-61129.93599186182, 5231.857895743017, 51.85826827280121]]"
bulk_carriers_design,TPESampler,"Any[[-6776.002675889059, 4075.2519724729564, 397.8901225465094]]"
bulk_carriers_design,TPESampler,"Any[[-11259.508467998407, 4577.9367944586775, 257.98023287221247]]"
