algorithm_name,sampler,solutions
front_rail_design,TPESampler,"Any[[0.8377250199541467, 1.1965690406515366]]"
front_rail_design,TPESampler,"Any[[0.9336526152526861, 0.9861847171313305]]"
front_rail_design,TPESampler,"Any[[0.8521645735670197, 1.1372732226655764]]"
front_rail_design,TPESampler,"Any[[0.8830019197060369, 1.0623934519368694]]"
front_rail_design,TPESampler,"Any[[0.9334629323847351, 0.9863245929197452]]"
front_rail_design,TPESampler,"Any[[0.8828117825459962, 1.063048782909644]]"
front_rail_design,TPESampler,"Any[[0.8380251976342455, 1.1946221011819464]]"
front_rail_design,TPESampler,"Any[[0.8824631463407148, 1.063547715269227]]"
front_rail_design,TPESampler,"Any[[0.8836118456894249, 1.0614066251382992]]"
front_rail_design,TPESampler,"Any[[0.8380986998372473, 1.1941901472041763]]"
front_rail_design,TPESampler,"Any[[0.8382874063737936, 1.1929639934973393]]"
front_rail_design,TPESampler,"Any[[0.8838753912564261, 1.060801265122276]]"
front_rail_design,TPESampler,"Any[[0.8822190692680959, 1.0640623892621262]]"
front_rail_design,TPESampler,"Any[[0.9325384063485995, 0.9870186876907966]]"
front_rail_design,TPESampler,"Any[[0.8819182592488635, 1.064724837969091]]"
front_rail_design,TPESampler,"Any[[0.8816425571979409, 1.0652939421835979]]"
front_rail_design,TPESampler,"Any[[0.8814988333794704, 1.0656038531366407]]"
front_rail_design,TPESampler,"Any[[0.8812733818287485, 1.066202439604627]]"
front_rail_design,TPESampler,"Any[[0.8810569186408045, 1.066562577125932]]"
front_rail_design,TPESampler,"Any[[0.8808766141050491, 1.066961970869835]]"
front_rail_design,TPESampler,"Any[[0.8386418044092183, 1.1907826133375197]]"
front_rail_design,TPESampler,"Any[[0.8387370440780334, 1.1902017147229942]]"
front_rail_design,TPESampler,"Any[[0.8388160384033526, 1.1897273560650945]]"
front_rail_design,TPESampler,"Any[[0.8799216499269299, 1.0690706686017455]]"
front_rail_design,TPESampler,"Any[[0.8849512449158914, 1.058277475723597]]"
front_rail_design,TPESampler,"Any[[0.8851827494479899, 1.0577990274918134]]"
front_rail_design,TPESampler,"Any[[0.8791619099990955, 1.0706835563009125]]"
front_rail_design,TPESampler,"Any[[0.8790113018079272, 1.0710095024077702]]"
front_rail_design,TPESampler,"Any[[0.885898560040972, 1.0563364221848826]]"
front_rail_design,TPESampler,"Any[[0.931626591237677, 0.9877231976871249]]"
front_rail_design,TPESampler,"Any[[0.9312980226540342, 0.987982411741199]]"
front_rail_design,TPESampler,"Any[[0.8861217524418165, 1.0558350173224194]]"
front_rail_design,TPESampler,"Any[[0.8392936169672254, 1.186964694639754]]"
front_rail_design,TPESampler,"Any[[0.8394421040027941, 1.1860736405376144]]"
front_rail_design,TPESampler,"Any[[0.8787236741791133, 1.0716451278327312]]"
front_rail_design,TPESampler,"Any[[0.8784758336704429, 1.072183494968112]]"
front_rail_design,TPESampler,"Any[[0.8781794915673544, 1.0728325844386726]]"
front_rail_design,TPESampler,"Any[[0.931084960954605, 0.9881512459083055]]"
front_rail_design,TPESampler,"Any[[0.8779364647881652, 1.0733713547106984]]"
front_rail_design,TPESampler,"Any[[0.8398051480073886, 1.1840411234492625]]"
front_rail_design,TPESampler,"Any[[0.8868628181979308, 1.0542982308265445]]"
front_rail_design,TPESampler,"Any[[0.9308277216400547, 0.9883616681527406]]"
front_rail_design,TPESampler,"Any[[0.9303004277402477, 0.9887840285322911]]"
front_rail_design,TPESampler,"Any[[0.8773327277306543, 1.0747295510889294]]"
front_rail_design,TPESampler,"Any[[0.8876215471501586, 1.0527733317787498]]"
front_rail_design,TPESampler,"Any[[0.8400508934815287, 1.1827190147409539]]"
front_rail_design,TPESampler,"Any[[0.840206375089607, 1.1818523203625215]]"
front_rail_design,TPESampler,"Any[[0.8767155538356891, 1.076155078123183]]"
front_rail_design,TPESampler,"Any[[0.8881950285232655, 1.0515661288379599]]"
front_rail_design,TPESampler,"Any[[0.8760645346545022, 1.0775385558945063]]"
front_rail_design,TPESampler,"Any[[0.8404391706600837, 1.1806545586652581]]"
