algorithm_name,sampler,solutions
multi_product_batch_plant,TPESampler,"Any[[142963.41483432986, 18114.465671425125, 1600.630531038774]]"
multi_product_batch_plant,TPESampler,"Any[[96202.10804716268, 17948.926043668813, 2734.8405865486066]]"
multi_product_batch_plant,TPESampler,"Any[[172571.01198233909, 17963.018134900554, 1390.020125045326]]"
multi_product_batch_plant,TPESampler,"Any[[89428.13668445488, 19389.030755289907, 3071.3670371728995]]"
multi_product_batch_plant,TPESampler,"Any[[123087.6075515552, 18077.17827961983, 1829.4608108923921]]"
multi_product_batch_plant,TPESampler,"Any[[111704.89103502748, 20209.064468955134, 2458.862555694553]]"
multi_product_batch_plant,TPESampler,"Any[[112543.89937756448, 20177.618496517985, 2145.8801160424437]]"
multi_product_batch_plant,TPESampler,"Any[[116372.97528858115, 19165.152626427574, 2064.5076034503136]]"
multi_product_batch_plant,TPESampler,"Any[[96455.99210590594, 17739.287405031988, 2696.334322862188]]"
multi_product_batch_plant,TPESampler,"Any[[92685.99867125915, 18636.144028958894, 2998.8811710657983]]"
multi_product_batch_plant,TPESampler,"Any[[93530.19642071996, 19064.971073685432, 2981.916100010939]]"
multi_product_batch_plant,TPESampler,"Any[[120233.42655110372, 18475.62806909969, 2031.4908662603805]]"
multi_product_batch_plant,TPESampler,"Any[[147147.3665861608, 17739.360237944325, 1639.7493696237211]]"
multi_product_batch_plant,TPESampler,"Any[[118523.92288918531, 18780.562026993917, 1931.562650934534]]"
multi_product_batch_plant,TPESampler,"Any[[101997.13304213365, 17883.994699035837, 2579.0009047917956]]"
multi_product_batch_plant,TPESampler,"Any[[112807.1419744179, 20138.10690914748, 2249.2463724248355]]"
multi_product_batch_plant,TPESampler,"Any[[73175.61714052402, 18392.068095358853, 3673.3285183318303]]"
multi_product_batch_plant,TPESampler,"Any[[123497.94081337051, 17740.09985080231, 1921.781470938497]]"
multi_product_batch_plant,TPESampler,"Any[[101486.11503760911, 17875.562271340263, 2681.025567138369]]"
multi_product_batch_plant,TPESampler,"Any[[93887.15567965954, 18244.880747202777, 2965.7300308156123]]"
multi_product_batch_plant,TPESampler,"Any[[113425.54692455361, 19830.770818169643, 2300.2492841700823]]"
multi_product_batch_plant,TPESampler,"Any[[173135.08607863504, 17703.996156139074, 1637.162569675908]]"
multi_product_batch_plant,TPESampler,"Any[[94889.5038239761, 18145.193299014, 2957.87136335138]]"
multi_product_batch_plant,TPESampler,"Any[[94226.85369430626, 18729.79621975036, 2900.5138104568714]]"
multi_product_batch_plant,TPESampler,"Any[[90590.9745502841, 19168.69852247528, 3056.486331711619]]"
multi_product_batch_plant,TPESampler,"Any[[122254.52803622914, 18017.467338377806, 2291.4403464402726]]"
multi_product_batch_plant,TPESampler,"Any[[102969.6596760331, 17692.758640030144, 2718.0110754851075]]"
multi_product_batch_plant,TPESampler,"Any[[116373.36884276016, 19223.60262256115, 2060.2129933799506]]"
multi_product_batch_plant,TPESampler,"Any[[120483.04610481336, 18416.757555434444, 2287.163653741133]]"
multi_product_batch_plant,TPESampler,"Any[[95950.67432376035, 18147.555429656, 2735.4923538270336]]"
multi_product_batch_plant,TPESampler,"Any[[87102.06687175964, 20500.31503154386, 3207.1400762534313]]"
multi_product_batch_plant,TPESampler,"Any[[96126.52268433828, 18007.90114081979, 2790.644919348872]]"
multi_product_batch_plant,TPESampler,"Any[[89203.09732216674, 19853.586579617004, 3137.9319211978377]]"
multi_product_batch_plant,TPESampler,"Any[[124910.29241882497, 17739.360237944325, 1774.5507012264272]]"
multi_product_batch_plant,TPESampler,"Any[[91020.83727999925, 19024.6553817053, 3111.054026569009]]"
multi_product_batch_plant,TPESampler,"Any[[147236.00219521066, 17738.014436995094, 1641.2924983680246]]"
multi_product_batch_plant,TPESampler,"Any[[115437.47810153585, 19498.223112751657, 2025.4608625787978]]"
multi_product_batch_plant,TPESampler,"Any[[172779.38902487262, 17762.131760478173, 1418.7814799846574]]"
multi_product_batch_plant,TPESampler,"Any[[120317.45735693382, 18507.30783040486, 1880.539178558206]]"
multi_product_batch_plant,TPESampler,"Any[[121359.72583005673, 18170.098608077577, 1940.9541099165594]]"
multi_product_batch_plant,TPESampler,"Any[[114829.4179460494, 19801.972331927063, 2091.5041031783085]]"
multi_product_batch_plant,TPESampler,"Any[[87641.62558868543, 20197.28447888635, 3349.380445198526]]"
multi_product_batch_plant,TPESampler,"Any[[125308.61748871554, 17691.509727898265, 2005.2552921886397]]"
multi_product_batch_plant,TPESampler,"Any[[60046.51551072233, 25956.08707744613, 5786.082786711511]]"
multi_product_batch_plant,TPESampler,"Any[[60750.94288151705, 24998.15774315397, 5506.502608383113]]"
multi_product_batch_plant,TPESampler,"Any[[89425.99220002898, 19747.75398934303, 3120.101075795177]]"
multi_product_batch_plant,TPESampler,"Any[[60601.29579637392, 25893.980018288497, 5780.3452379611535]]"
multi_product_batch_plant,TPESampler,"Any[[116567.96628966175, 19046.918697739944, 1931.7100432925558]]"
multi_product_batch_plant,TPESampler,"Any[[68170.9584545344, 20670.05461841197, 4253.5535842517675]]"
multi_product_batch_plant,TPESampler,"Any[[120803.90438903803, 18332.776055087234, 1878.1703121965418]]"
multi_product_batch_plant,TPESampler,"Any[[107006.48374995614, 21943.420315961754, 2413.908423083927]]"
multi_product_batch_plant,TPESampler,"Any[[176139.9788715882, 17702.3398561646, 1540.4319388657814]]"
multi_product_batch_plant,TPESampler,"Any[[118030.42627415236, 18748.63539933158, 1959.881364859836]]"
multi_product_batch_plant,TPESampler,"Any[[113362.24791417978, 19834.778319735968, 2467.471237676801]]"
multi_product_batch_plant,TPESampler,"Any[[69037.13283561947, 20174.999868837447, 4130.082838746896]]"
multi_product_batch_plant,TPESampler,"Any[[74082.39481620911, 18224.08166549085, 3621.6403860647524]]"
multi_product_batch_plant,TPESampler,"Any[[115462.12133670948, 19585.61565722165, 2010.2216081461927]]"
multi_product_batch_plant,TPESampler,"Any[[102591.78944651874, 17761.69455024023, 2513.995007757254]]"
multi_product_batch_plant,TPESampler,"Any[[89174.79181722793, 19623.599696966558, 3304.122876092114]]"
multi_product_batch_plant,TPESampler,"Any[[88503.0961846683, 20170.40391077791, 3241.7735790987326]]"
multi_product_batch_plant,TPESampler,"Any[[110134.85464852626, 20855.07735264218, 2320.4625261405613]]"
multi_product_batch_plant,TPESampler,"Any[[199614.28414899128, 17691.509727898265, 1335.531299691525]]"
multi_product_batch_plant,TPESampler,"Any[[101489.97963910918, 18120.610730720924, 2559.159344358699]]"
multi_product_batch_plant,TPESampler,"Any[[92065.68284438914, 18743.483587023635, 3011.655976995468]]"
multi_product_batch_plant,TPESampler,"Any[[95860.7085112812, 18007.90114081979, 2821.2748035678464]]"
multi_product_batch_plant,TPESampler,"Any[[118677.30983896069, 18670.94179908738, 1946.6771817683139]]"
multi_product_batch_plant,TPESampler,"Any[[69418.05769884962, 20114.105849005606, 4111.346217260177]]"
multi_product_batch_plant,TPESampler,"Any[[91700.59409353977, 19015.671417756446, 3035.539846320687]]"
multi_product_batch_plant,TPESampler,"Any[[146294.846348707, 17761.015232540478, 1570.0695195094204]]"
multi_product_batch_plant,TPESampler,"Any[[116630.1103369814, 18998.157082963444, 2233.4503235037528]]"
multi_product_batch_plant,TPESampler,"Any[[74178.40388730686, 18028.62731877325, 3538.4425224438046]]"
multi_product_batch_plant,TPESampler,"Any[[95189.09190782833, 18169.525535310753, 2880.0885727334085]]"
multi_product_batch_plant,TPESampler,"Any[[88982.12606538532, 19887.142132981666, 3128.1938680054764]]"
multi_product_batch_plant,TPESampler,"Any[[86833.44586214403, 20241.22563995379, 3389.350877993576]]"
multi_product_batch_plant,TPESampler,"Any[[138842.25180727642, 19048.618253667795, 1676.6598025075855]]"
multi_product_batch_plant,TPESampler,"Any[[110296.37309725926, 20991.576189450287, 2288.2247115712908]]"
multi_product_batch_plant,TPESampler,"Any[[94279.78105207853, 18280.02582690536, 2791.0691580735747]]"
multi_product_batch_plant,TPESampler,"Any[[122545.19216721281, 17962.5574570073, 1837.7402961811244]]"
multi_product_batch_plant,TPESampler,"Any[[93530.19642071996, 19064.971073685432, 2981.916100010939]]"
multi_product_batch_plant,TPESampler,"Any[[87102.06687175964, 20500.31503154386, 3207.1400762534313]]"
multi_product_batch_plant,TPESampler,"Any[[87761.21221883384, 20097.876427364172, 3346.172119084714]]"
multi_product_batch_plant,TPESampler,"Any[[66045.73067978906, 22369.73473849279, 4662.389227413228]]"
multi_product_batch_plant,TPESampler,"Any[[117784.71080890947, 19036.616396609195, 2047.3976342314886]]"
multi_product_batch_plant,TPESampler,"Any[[110928.84696294564, 20672.867952517736, 2157.8244897739105]]"
multi_product_batch_plant,TPESampler,"Any[[118608.11232424379, 18748.057543881114, 1972.4121593905597]]"
multi_product_batch_plant,TPESampler,"Any[[95860.7085112812, 18007.90114081979, 2821.2748035678464]]"
multi_product_batch_plant,TPESampler,"Any[[94090.31685733754, 18282.41056898816, 2914.822429249535]]"
multi_product_batch_plant,TPESampler,"Any[[113209.50643769396, 20055.03961918276, 2205.4604212995373]]"
multi_product_batch_plant,TPESampler,"Any[[101486.11503760911, 17875.562271340263, 2681.025567138369]]"
multi_product_batch_plant,TPESampler,"Any[[117027.68008458907, 19011.930267546766, 2168.814824158818]]"
multi_product_batch_plant,TPESampler,"Any[[146761.38904975535, 17755.785743590815, 1536.1613710922297]]"
multi_product_batch_plant,TPESampler,"Any[[87558.30270313748, 20169.12954639182, 3366.5360086954743]]"
multi_product_batch_plant,TPESampler,"Any[[87810.81225129933, 20291.97741298972, 3143.4962882045593]]"
multi_product_batch_plant,TPESampler,"Any[[93530.19642071996, 19064.971073685432, 2981.916100010939]]"
multi_product_batch_plant,TPESampler,"Any[[123698.10028039801, 17756.50534572624, 1792.0268548792083]]"
multi_product_batch_plant,TPESampler,"Any[[118678.96233078296, 17721.907967185027, 2472.0828737639786]]"
multi_product_batch_plant,TPESampler,"Any[[96434.98660705631, 17812.664830328453, 2705.417957296512]]"
multi_product_batch_plant,TPESampler,"Any[[91147.96869416785, 19024.6553817053, 2993.4843989277947]]"
multi_product_batch_plant,TPESampler,"Any[[88227.5716797534, 20170.618648148105, 3186.941543347156]]"
multi_product_batch_plant,TPESampler,"Any[[96016.19387044318, 18082.28188466914, 2717.412726953675]]"
multi_product_batch_plant,TPESampler,"Any[[66689.83931706953, 21518.91519275505, 4538.599696223039]]"
multi_product_batch_plant,TPESampler,"Any[[87345.1264465679, 20201.092500318577, 3392.2260876129776]]"
multi_product_batch_plant,TPESampler,"Any[[151586.65760848284, 17704.185934220644, 1546.3610081301308]]"
multi_product_batch_plant,TPESampler,"Any[[122931.75069736449, 18054.845831196173, 1829.5313347808137]]"
multi_product_batch_plant,TPESampler,"Any[[108302.68616943006, 21207.88730080649, 2322.025757347154]]"
multi_product_batch_plant,TPESampler,"Any[[111818.36185462843, 20562.877546339252, 2172.97471021653]]"
multi_product_batch_plant,TPESampler,"Any[[199621.3853402109, 17691.509727898265, 1315.8271266799877]]"
multi_product_batch_plant,TPESampler,"Any[[162270.63470202574, 17691.07379767869, 1675.4718924113454]]"
multi_product_batch_plant,TPESampler,"Any[[115682.31492610954, 19311.209768436558, 2010.7603544544588]]"
multi_product_batch_plant,TPESampler,"Any[[92109.52777686267, 18700.85327230142, 3005.5136903515377]]"
multi_product_batch_plant,TPESampler,"Any[[139083.43674707878, 18748.057543881114, 1762.058781504772]]"
multi_product_batch_plant,TPESampler,"Any[[87334.05480379444, 20504.170913947713, 3196.951768951188]]"
multi_product_batch_plant,TPESampler,"Any[[116567.96628966175, 19024.6553817053, 2375.4393013895683]]"
multi_product_batch_plant,TPESampler,"Any[[110484.73289283048, 20855.07735264218, 2299.575280971356]]"
multi_product_batch_plant,TPESampler,"Any[[172252.94486489848, 18103.21944276194, 1408.3957674040107]]"
multi_product_batch_plant,TPESampler,"Any[[125173.2687079473, 17730.194260685483, 1807.6168129190837]]"
multi_product_batch_plant,TPESampler,"Any[[100616.27519670685, 18517.19083693919, 2649.077611815433]]"
multi_product_batch_plant,TPESampler,"Any[[90391.74041721567, 19229.017043977692, 3143.9786735285375]]"
multi_product_batch_plant,TPESampler,"Any[[170879.93703226038, 18078.257549955368, 1411.1640051446434]]"
multi_product_batch_plant,TPESampler,"Any[[120626.50919951625, 18339.536020442785, 2083.6392665812336]]"
multi_product_batch_plant,TPESampler,"Any[[88595.47421859982, 19765.367556547382, 3320.931625322659]]"
multi_product_batch_plant,TPESampler,"Any[[88390.08988660303, 19770.037917763457, 3322.3686595429895]]"
multi_product_batch_plant,TPESampler,"Any[[112150.37671970567, 20458.285391333673, 2228.4122059365336]]"
multi_product_batch_plant,TPESampler,"Any[[174330.644895026, 17724.84718494405, 1335.3230244839624]]"
multi_product_batch_plant,TPESampler,"Any[[89023.33706837577, 19696.845747075604, 3311.5421982419543]]"
multi_product_batch_plant,TPESampler,"Any[[75472.87798689316, 17698.99689046816, 3456.83851916865]]"
multi_product_batch_plant,TPESampler,"Any[[125596.86782325411, 17688.36856322174, 2757.8230914210017]]"
multi_product_batch_plant,TPESampler,"Any[[123097.55911027173, 17917.155052160306, 1841.1683149502462]]"
multi_product_batch_plant,TPESampler,"Any[[120251.61583204701, 18465.553076493772, 1958.2577776742316]]"
multi_product_batch_plant,TPESampler,"Any[[124069.75221896294, 17715.682578527852, 2199.6321323634975]]"
multi_product_batch_plant,TPESampler,"Any[[72788.55297270982, 19013.5280480634, 3815.2082179821537]]"
multi_product_batch_plant,TPESampler,"Any[[103202.73088716393, 17727.474579686103, 2645.1719515058985]]"
multi_product_batch_plant,TPESampler,"Any[[87725.90532640781, 20445.173883887815, 3169.907104799392]]"
multi_product_batch_plant,TPESampler,"Any[[69037.13283561947, 20174.999868837447, 4130.082838746896]]"
multi_product_batch_plant,TPESampler,"Any[[91057.87415180766, 19064.925478157613, 3108.679467612929]]"
multi_product_batch_plant,TPESampler,"Any[[116386.89963346817, 19116.691730328814, 2084.8669333027406]]"
multi_product_batch_plant,TPESampler,"Any[[122985.0870074872, 17828.79123839114, 1964.5898284644704]]"
multi_product_batch_plant,TPESampler,"Any[[95716.6328341376, 18007.90114081979, 2843.3029201384843]]"
multi_product_batch_plant,TPESampler,"Any[[117269.54288508184, 18960.81634673122, 2208.2320528485607]]"
multi_product_batch_plant,TPESampler,"Any[[144973.79719059437, 17802.52739540381, 1567.8602995487531]]"
multi_product_batch_plant,TPESampler,"Any[[112879.4145592989, 20108.074406592437, 2218.8253877847737]]"
multi_product_batch_plant,TPESampler,"Any[[97097.3954103188, 17690.62181154521, 2723.589077644148]]"
multi_product_batch_plant,TPESampler,"Any[[141857.50660227038, 18829.79106474216, 1660.9221724772965]]"
multi_product_batch_plant,TPESampler,"Any[[113126.71653020472, 20073.750178564664, 2491.4616377492835]]"
multi_product_batch_plant,TPESampler,"Any[[88947.8168377911, 19902.94921409084, 3152.683531862061]]"
multi_product_batch_plant,TPESampler,"Any[[147329.8469726107, 17697.3402952666, 1755.3795974743762]]"
multi_product_batch_plant,TPESampler,"Any[[87350.87816933697, 20169.99353398794, 3380.762264727958]]"
multi_product_batch_plant,TPESampler,"Any[[112055.28185862066, 20534.06320225619, 2331.678899705047]]"
multi_product_batch_plant,TPESampler,"Any[[170064.12706787302, 18105.09773987087, 1460.176754096346]]"
multi_product_batch_plant,TPESampler,"Any[[123229.18482691293, 17827.81807422288, 2063.76754833227]]"
multi_product_batch_plant,TPESampler,"Any[[123485.86946112827, 17787.59356921145, 1955.72481701458]]"
multi_product_batch_plant,TPESampler,"Any[[110157.52739683077, 21208.941971072938, 2292.634667351415]]"
multi_product_batch_plant,TPESampler,"Any[[198078.4157529025, 18124.634113009386, 1255.47128535631]]"
multi_product_batch_plant,TPESampler,"Any[[87361.52822337052, 20394.681710216773, 3257.676789697968]]"
multi_product_batch_plant,TPESampler,"Any[[91424.56501293083, 18829.267912977586, 3046.105955513565]]"
multi_product_batch_plant,TPESampler,"Any[[122190.31093575768, 18108.571231668226, 1996.9504378072047]]"
multi_product_batch_plant,TPESampler,"Any[[110485.84624341685, 21220.6354168198, 2275.563396638682]]"
multi_product_batch_plant,TPESampler,"Any[[120027.7546999059, 18524.82198580662, 1934.8235336581074]]"
multi_product_batch_plant,TPESampler,"Any[[107969.70257929506, 21552.88777100401, 2382.696947162757]]"
multi_product_batch_plant,TPESampler,"Any[[146782.2176212086, 17823.862093736083, 1525.5676874224491]]"
multi_product_batch_plant,TPESampler,"Any[[88993.57765115697, 19696.845747075604, 3312.051602331563]]"
multi_product_batch_plant,TPESampler,"Any[[87075.73417205125, 20176.42179580583, 3429.05855467453]]"
multi_product_batch_plant,TPESampler,"Any[[113293.12340149372, 20173.693524450966, 2129.063438708624]]"
multi_product_batch_plant,TPESampler,"Any[[124143.29563827469, 17693.793464193826, 1977.559324356232]]"
multi_product_batch_plant,TPESampler,"Any[[140524.42339985323, 18564.497013582717, 1725.0975911668816]]"
multi_product_batch_plant,TPESampler,"Any[[114532.97504608023, 19568.302508208762, 2153.6046699818608]]"
multi_product_batch_plant,TPESampler,"Any[[120540.20751853175, 18416.757555434444, 2173.4369265300206]]"
