algorithm_name,sampler,solutions
pressure_vessel,TPESampler,"Any[[93.69032064356239, -7968.936077650873]]"
pressure_vessel,TPESampler,"Any[[360131.21406250005, -5.864306286700947e7]]"
pressure_vessel,TPESampler,"Any[[201852.0409757631, -3.526897326700576e7]]"
pressure_vessel,TPESampler,"Any[[359564.8572144816, -5.855676056992973e7]]"
pressure_vessel,TPESampler,"Any[[358645.59405218135, -5.839552537285428e7]]"
pressure_vessel,TPESampler,"Any[[1542.3896331387048, -507277.8463946843]]"
pressure_vessel,TPESampler,"Any[[357999.255568448, -5.8235297149851546e7]]"
pressure_vessel,TPESampler,"Any[[357092.73980358115, -5.801300367091797e7]]"
pressure_vessel,TPESampler,"Any[[2348.5848235624376, -770857.8523766713]]"
pressure_vessel,TPESampler,"Any[[356487.5675837147, -5.786412870212811e7]]"
pressure_vessel,TPESampler,"Any[[355701.11574029276, -5.767083227440269e7]]"
pressure_vessel,TPESampler,"Any[[2695.4734118414444, -984700.9343227628]]"
pressure_vessel,TPESampler,"Any[[3305.376146791623, -1.1601762088108084e6]]"
pressure_vessel,TPESampler,"Any[[3987.773451798021, -1.2259509681198534e6]]"
pressure_vessel,TPESampler,"Any[[4625.48024455439, -1.298231794413911e6]]"
pressure_vessel,TPESampler,"Any[[4793.580276908095, -1.446241819123576e6]]"
pressure_vessel,TPESampler,"Any[[5121.687879842119, -1.617881050142547e6]]"
pressure_vessel,TPESampler,"Any[[5739.324325164099, -1.6901089246597523e6]]"
pressure_vessel,TPESampler,"Any[[6250.894792285864, -1.9522603155991226e6]]"
pressure_vessel,TPESampler,"Any[[7151.421615724489, -2.134487894632593e6]]"
pressure_vessel,TPESampler,"Any[[7917.011247038478, -2.2243920757550634e6]]"
pressure_vessel,TPESampler,"Any[[8500.572993972492, -2.435088455346893e6]]"
pressure_vessel,TPESampler,"Any[[354660.57577803533, -5.7414758101084426e7]]"
pressure_vessel,TPESampler,"Any[[354317.6061064616, -5.733123517550574e7]]"
pressure_vessel,TPESampler,"Any[[353648.7056370948, -5.716678880465924e7]]"
pressure_vessel,TPESampler,"Any[[9740.209641953028, -2.7002986693672272e6]]"
pressure_vessel,TPESampler,"Any[[353253.3077729114, -5.691048629489857e7]]"
pressure_vessel,TPESampler,"Any[[352418.01519476034, -5.682443606450644e7]]"
pressure_vessel,TPESampler,"Any[[345374.7162078758, -5.67961216058634e7]]"
pressure_vessel,TPESampler,"Any[[344705.61091900215, -5.662954898673135e7]]"
pressure_vessel,TPESampler,"Any[[11321.679304417781, -3.0241247191732028e6]]"
pressure_vessel,TPESampler,"Any[[11654.3041579141, -3.1647367008694108e6]]"
pressure_vessel,TPESampler,"Any[[343916.9816867011, -5.643396386259013e7]]"
pressure_vessel,TPESampler,"Any[[343172.36567969946, -5.624354765464619e7]]"
pressure_vessel,TPESampler,"Any[[12754.386999370103, -3.308200048881251e6]]"
pressure_vessel,TPESampler,"Any[[341447.7875648736, -5.5938511650104344e7]]"
pressure_vessel,TPESampler,"Any[[340726.0239832527, -5.576139125534037e7]]"
pressure_vessel,TPESampler,"Any[[340182.2530529747, -5.5540037168630555e7]]"
pressure_vessel,TPESampler,"Any[[339416.69959692477, -5.5433821715960145e7]]"
pressure_vessel,TPESampler,"Any[[13267.657873794233, -3.505454919805513e6]]"
pressure_vessel,TPESampler,"Any[[338846.5818161501, -5.529661072467005e7]]"
pressure_vessel,TPESampler,"Any[[337799.696867673, -5.503779446939152e7]]"
pressure_vessel,TPESampler,"Any[[14937.081221658274, -3.7615819000329897e6]]"
pressure_vessel,TPESampler,"Any[[15377.166826234092, -3.9637715344655e6]]"
pressure_vessel,TPESampler,"Any[[15758.859036334812, -4.1004076890659207e6]]"
pressure_vessel,TPESampler,"Any[[15967.863280538917, -4.207945652728099e6]]"
pressure_vessel,TPESampler,"Any[[17220.9414114917, -4.332729787645398e6]]"
pressure_vessel,TPESampler,"Any[[17639.425243720034, -4.496658780404434e6]]"
pressure_vessel,TPESampler,"Any[[18311.35235962219, -4.695161467227854e6]]"
pressure_vessel,TPESampler,"Any[[336998.58583023364, -5.4750968349276505e7]]"
pressure_vessel,TPESampler,"Any[[336103.9666773394, -5.4620426160171025e7]]"
pressure_vessel,TPESampler,"Any[[19951.529235808906, -4.932619184388003e6]]"
pressure_vessel,TPESampler,"Any[[20640.345661088966, -5.196963199395573e6]]"
pressure_vessel,TPESampler,"Any[[21873.868340732504, -5.248533208680837e6]]"
pressure_vessel,TPESampler,"Any[[22258.521416882508, -5.388427452364459e6]]"
pressure_vessel,TPESampler,"Any[[335598.83548253996, -5.444339599951704e7]]"
pressure_vessel,TPESampler,"Any[[331100.1501803848, -5.442485185578601e7]]"
pressure_vessel,TPESampler,"Any[[328766.67302540864, -5.442417116468186e7]]"
pressure_vessel,TPESampler,"Any[[326968.52261332504, -5.3962801752062574e7]]"
pressure_vessel,TPESampler,"Any[[326290.8662198483, -5.378732660654899e7]]"
pressure_vessel,TPESampler,"Any[[325629.36943834805, -5.363195295917531e7]]"
pressure_vessel,TPESampler,"Any[[325007.7087620643, -5.348789346453885e7]]"
pressure_vessel,TPESampler,"Any[[324646.3892602807, -5.33959491795767e7]]"
pressure_vessel,TPESampler,"Any[[25383.41099847655, -5.96706376458045e6]]"
pressure_vessel,TPESampler,"Any[[25956.110538360525, -6.0346925627971925e6]]"
pressure_vessel,TPESampler,"Any[[324063.9124553609, -5.325299052873185e7]]"
pressure_vessel,TPESampler,"Any[[26301.240121092258, -6.231624315716093e6]]"
