algorithm_name,sampler,solutions
hydro_static_thrust_bearing_design,TPESampler,"Any[[7291.291092743249, 7.070461618725578e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6286.096889801179, 7.548417546963805e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6609.4425170883815, 7.360392295764841e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6609.4425170883815, 7.360392295764841e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6607.596809004234, 7.368910481920976e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6285.994409758005, 7.54886667828011e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6607.596809004234, 7.368910481920976e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6286.214254472463, 7.547768893925516e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[5674.952864246511, 7.950171856929233e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6562.340128432686, 7.4416813955010935e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6732.956590488407, 7.313150394768294e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[8752.206840336132, 6.210436814338315e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6607.5540644692155, 7.36909884985545e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[5535.498333751362, 8.031761939372429e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6626.593244149044, 7.335330094639334e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[5674.952864246511, 7.950171856929233e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[4055.7708323732427, 1.0054059428657574e-5]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6607.239290688848, 7.3704451750638865e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6613.843851942678, 7.342247621097855e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[4677.774083499214, 9.40097723000669e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[5044.583318049033, 8.864148952680595e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6316.915444619699, 7.51587390824611e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[5044.583318049033, 8.864148952680595e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[5634.83366733564, 8.007746776816105e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[5675.037270198435, 7.94960841952966e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[5674.926051665695, 7.950243576312211e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6607.597222978151, 7.368909634984714e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[8754.674856617636, 6.205956846591117e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[9106.652341820769, 6.204155826674728e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6611.492493934133, 7.353002327728314e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6607.599145094001, 7.3689057025903985e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6549.0239819710405, 7.450334086495488e-6]]"
hydro_static_thrust_bearing_design,TPESampler,"Any[[6612.131531316313, 7.3495069301823866e-6]]"
