algorithm_name,sampler,solutions
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.2996837274147301, 26.2976675879939]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3157042509290735, 19.622587580089213]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3064099449369007, 22.677221422390737]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.2997320305854605, 26.264972575317287]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.2997488645790023, 26.248352659866807]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3156683447213562, 19.63396141133592]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3156323110697958, 19.645511674792214]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.2997997613510623, 26.226667862326956]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.299808035493974, 26.20610496320254]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3155661086438142, 19.66414472855799]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3154820680383046, 19.686086030985805]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3154467522220035, 19.696429906919615]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.2998516414276426, 26.178779379596055]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.2998672456031588, 26.15807526554429]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.2998875606758593, 26.14545591087909]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.2999084122011613, 26.12598474367668]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3154121578804674, 19.70603036178306]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.2999403106876946, 26.104612331886948]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.2999703453773888, 26.081022177672253]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3153329257301, 19.7328474950699]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3152477631479038, 19.755253229757404]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3000074911791362, 26.06000392041344]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3000215332232863, 26.041587226200747]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3000490159325746, 26.019193279509313]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.300068560242715, 26.00599644533222]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3000976714575574, 25.982293921058734]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.300101333353503, 25.98010685887768]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3001562352522893, 25.93906705873805]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3151779483679154, 19.77251300349593]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3150992298187583, 19.794787627599963]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3150683118161717, 19.804348426101388]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.300199371357401, 25.90818200932872]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3002242822601482, 25.884834915488014]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3002575773096139, 25.86667176888331]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3002600694530015, 25.858817199802083]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3002974754663885, 25.84334980997347]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.300331532858196, 25.803155131907143]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3149945656248585, 19.823950171531905]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3149164047112163, 19.84703574212279]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3003773795633364, 25.77457790385799]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3148608265976274, 19.86292380588947]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.314816093342901, 19.87678971849321]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3004114139934801, 25.74214004532524]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3004504534836225, 25.721548534269424]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3004911641752008, 25.68799577075376]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3005076869502397, 25.67296539753905]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3005388077241593, 25.64483304668022]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3005677015742432, 25.62369574756979]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3005797621361732, 25.61342437252747]]"
crash_energy_management_for_high_speed_train,TPESampler,"Any[[1.3006277964621684, 25.58917004262838]]"
