algorithm_name,sampler,solutions
process_flow_sheeting_problem,TPESampler,"Any[[-0.24299999924864288, -0.9899877414764399]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.2069715425770407, -1.2899905140423744]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.17374399572874594, -1.1076911247896408]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.2429843697754078, -0.9917680624758238]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.24288539087286698, -0.9947876743233621]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.24287358965068445, -0.9950281278686095]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.07519970419073241, -1.1731940478341254]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.06541810194651676, -1.1784578954483913]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.24254746685909417, -0.9995134971583083]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.06306794986762487, -1.179700832039888]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.061392730780221894, -1.1805818806695196]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.08051136414680246, -1.170271259968525]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.0840306323336808, -1.1683083641772212]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.0560208254098733, -1.1833800271952233]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.053731235292764634, -1.1845604094912687]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.2416647779203927, -1.0063414936865975]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.08606720663199816, -1.1671625182694527]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.20302686013393545, -1.2886726837111842]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.19899652689346914, -1.2873202068119383]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.19869952315465345, -1.2872202964653119]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.19631851910410814, -1.2864181232473286]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.19421183762705768, -1.2857065564464398]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.19104004247159012, -1.2846319881226242]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.18946691370523616, -1.284097573504181]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.0881677267088889, -1.1659728804545826]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.18732892347027158, -1.2833697065036782]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.2408284907323782, -1.010839910011947]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.2403737992511733, -1.0129181183731413]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.09041997068210347, -1.1646883106094374]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.18369012023331305, -1.2821267260054487]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.18128562152178812, -1.2813024618920301]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.05141068894310946, -1.1857494884064275]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.0926676741851255, -1.1633968421243062]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.17906035043237534, -1.2805375536595485]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.1769569923800609, -1.27981269550388]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.17510710473648194, -1.2791736864711178]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.049184995613857474, -1.1868832163421466]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.047650490585852995, -1.1876610783205166]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.2384621963985367, -1.0201257409898143]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.23730293830132898, -1.0237551822897162]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.0450893730694904, -1.1889525706948552]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.23678691482865266, -1.0252507735212555]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.23594382961056468, -1.0275663955916878]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.17136558955729475, -1.2778769145163589]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.09685779829161495, -1.1609632719085505]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.23508928935251788, -1.0297761502598781]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.16864303856994722, -1.2769296203970708]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.16845112279903096, -1.2768627265908665]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.16607430867424616, -1.2760329731601747]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.23422885873696728, -1.0318835049470665]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.23327921742013996, -1.0340925902615392]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.16393693816947374, -1.2752847483373122]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.15813407730391027, -1.2732433855540466]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.23273843897975274, -1.035302452516938]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.2317304755138662, -1.03747530828996]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.10158928267623865, -1.158172956995922]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.23138056187068337, -1.0382067176424956]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.10158928267623865, -1.158172956995922]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.10416121157839645, -1.156636603674945]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.15439382559709358, -1.2719197849019346]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.10687077568445766, -1.1550025601713756]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.10948650026111487, -1.153409602908658]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.22989791061687734, -1.0411900173532351]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.22918013946891969, -1.042573492373894]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.150449735482164, -1.270517284844326]]"
process_flow_sheeting_problem,TPESampler,"Any[[0.14776696312010446, -1.2695592828413498]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.2286283237532154, -1.0436128135587763]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.22755057170193888, -1.0455867399620826]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.04133875284613581, -1.190828905864601]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.03800818749900964, -1.1915993558308398]]"
process_flow_sheeting_problem,TPESampler,"Any[[-0.11029596829426111, -1.1529134934287144]]"
