algorithm_name,sampler,solutions
vibrating_platform,TPESampler,"Any[[-0.04494071976330563, 226.80084262176487]]"
vibrating_platform,TPESampler,"Any[[-0.0014048814084696261, 210.00159396758337]]"
vibrating_platform,TPESampler,"Any[[-0.04239220507344576, 220.4621916261867]]"
vibrating_platform,TPESampler,"Any[[-0.02327991782571167, 211.17063349513788]]"
vibrating_platform,TPESampler,"Any[[-0.0016650787754813328, 210.00268440261874]]"
vibrating_platform,TPESampler,"Any[[-0.0017785284788713641, 210.0050792958535]]"
vibrating_platform,TPESampler,"Any[[-0.0021166692811112743, 210.00556236294622]]"
vibrating_platform,TPESampler,"Any[[-0.0023225975417413363, 210.00727635327897]]"
vibrating_platform,TPESampler,"Any[[-0.023146797889255704, 211.15361002141793]]"
vibrating_platform,TPESampler,"Any[[-0.022913122591837098, 211.12672728422373]]"
vibrating_platform,TPESampler,"Any[[-0.02446682509038029, 211.33121741155935]]"
vibrating_platform,TPESampler,"Any[[-0.04485182578626871, 226.48156553679576]]"
vibrating_platform,TPESampler,"Any[[-0.04482596218008947, 226.3980340399724]]"
vibrating_platform,TPESampler,"Any[[-0.044801672669445104, 226.31500871936265]]"
vibrating_platform,TPESampler,"Any[[-0.02464032383469861, 211.36445901331027]]"
vibrating_platform,TPESampler,"Any[[-0.02524783624527657, 211.44621276037282]]"
vibrating_platform,TPESampler,"Any[[-0.022526198755773243, 211.07977946628918]]"
vibrating_platform,TPESampler,"Any[[-0.04475999662307176, 226.17560265280574]]"
vibrating_platform,TPESampler,"Any[[-0.0220166897751701, 211.01678962534993]]"
vibrating_platform,TPESampler,"Any[[-0.021812473592667192, 210.99931672797342]]"
vibrating_platform,TPESampler,"Any[[-0.044723340067830526, 226.0382389494476]]"
vibrating_platform,TPESampler,"Any[[-0.04468864917291903, 225.92019290822748]]"
vibrating_platform,TPESampler,"Any[[-0.0024921343467147724, 210.0087778467885]]"
vibrating_platform,TPESampler,"Any[[-0.021464222104721323, 210.95680083747175]]"
