algorithm_name,sampler,solutions
SOPWM_for_3_level_invereters,TPESampler,"Any[[0.1392224831218625, 0.008127514646701821]]"
SOPWM_for_3_level_invereters,TPESampler,"Any[[0.15135538628984613, 0.004236419263974681]]"
SOPWM_for_3_level_invereters,TPESampler,"Any[[0.15829672578008303, 0.0006533187818385667]]"
SOPWM_for_3_level_invereters,TPESampler,"Any[[0.15136320969712402, 0.0014005283094327902]]"
SOPWM_for_3_level_invereters,TPESampler,"Any[[0.16628821960337142, 1.1905675509946731e-5]]"
SOPWM_for_3_level_invereters,TPESampler,"Any[[0.18572445915408076, 3.92732822301487e-11]]"
SOPWM_for_3_level_invereters,TPESampler,"Any[[0.15135538628984613, 0.004236419263974681]]"
SOPWM_for_3_level_invereters,TPESampler,"Any[[0.13038014675912468, 0.010872172124127309]]"
SOPWM_for_3_level_invereters,TPESampler,"Any[[0.15801172800550595, 0.0009764409670204207]]"
SOPWM_for_3_level_invereters,TPESampler,"Any[[0.1763225114592778, 1.028454902036827e-8]]"
SOPWM_for_3_level_invereters,TPESampler,"Any[[NaN, NaN]]"
