algorithm_name,sampler,solutions
two_bar_Truss_design_problems,TPESampler,"Any[[0.004021163259388295, 99372.26673010242]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09991691622247749, 1714.121253011914]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.012795042863059231, 16523.573881185748]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004041147498643346, 98475.11401902963]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004052310181977169, 98082.00132362482]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09891767879976382, 1732.4658215736163]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004062744211277136, 97542.17642676945]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.00406408673573332, 96951.54431546382]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0040742591180276035, 96536.75309324429]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0040787759727176146, 96245.8773784264]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004090250714581599, 95901.3098438541]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004098670519303321, 95533.29975464255]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004109951463072435, 95152.6298787073]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0041158663794677985, 94520.6621115581]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09853420582048554, 1739.4797102052355]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004129771412865517, 93947.80868036179]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0041347569240497446, 93686.02207577616]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004144543177073833, 93280.35171176141]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004152363985712802, 92953.27485080759]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004159121340150474, 92652.07964903564]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004165709450042929, 92299.99944723689]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004187859220607297, 91903.00001842488]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09800462898686824, 1748.5796726996866]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09777198436611478, 1755.2447988811307]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09737366555943743, 1760.7506200498076]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09698263622469282, 1772.2804758237546]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09608882767921172, 1784.4637139740375]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09452040473423545, 1816.1766500808692]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09395508568688167, 1828.1285344513549]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.00423190812834765, 90107.26376498687]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004247642760673704, 89435.8582698484]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004251599511354662, 88899.03474452918]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09351682467796074, 1835.3337108508592]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004263723370712095, 88337.52899842929]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09294977507379612, 1847.5793606182815]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09278025148267893, 1851.8756975580343]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09225300665012263, 1862.3627445966838]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004290336813951481, 87345.23838193408]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0043004866844485535, 87039.67735731449]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004309864676592742, 86624.49953449696]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09120319861346375, 1883.1235871062952]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.09064301043413761, 1895.277515340603]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.08998596124621816, 1909.5454872030243]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.08962062833347663, 1917.3449147834942]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.08911702788669504, 1928.2555325817152]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.08673227054875032, 1983.20575964814]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004357819132910436, 84843.20426303781]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004374227210073696, 84112.02362340677]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004391861235059913, 83651.62331904762]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0044044677106889665, 83115.78703086058]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.00441975073807325, 82552.42932140842]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.08601361332805643, 2001.348804422424]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004433519651676801, 82109.95026211062]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004440109789138339, 81706.36203560334]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004453469980325496, 81316.88797690626]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004475811859094089, 80767.66036806189]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.08522564989745661, 2019.4887867923126]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004485264316403252, 80206.25976873992]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004504688968148613, 79855.3172785446]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0045128936431324245, 79468.52078477968]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.08327395540736307, 2069.379223731616]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0045233394012454565, 79008.30097301725]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004535189841513796, 78550.9888299364]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004556988628792249, 78211.55375497183]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.08271893461774864, 2082.6343444599306]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0823337173416499, 2092.6511064989827]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004578668829079622, 77344.16658484002]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004586389160709661, 76990.65348493356]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.08199757132804113, 2104.9555519632045]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.08051717297236595, 2141.710705816345]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004610629325462282, 76237.75887681375]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004618483724198446, 75965.50883955725]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004645427768901665, 75617.15155635803]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0046574463519956566, 75154.21361984688]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.08004538643683953, 2154.4500463099907]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004678773013208291, 74603.80301271178]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004696969621046517, 74186.84996938049]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004706850775295703, 73927.61921838875]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.00471168886412298, 73483.98857315905]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004718584041639998, 73140.25466758628]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004735100534458966, 72754.0987194474]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004746930917647231, 72415.9434358375]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004760855062214599, 72115.27631602323]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004771874283114376, 71813.28263044287]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004788327350372412, 71311.96781476977]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004806944514484674, 70690.77854484439]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.00482325734551866, 70313.48686915444]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07908952840122267, 2183.5208206540974]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07811957726604399, 2211.9241967425396]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004850770472775962, 69616.703129189]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004881278860591133, 69115.99413672744]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004882299012387041, 68816.32891099392]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004899082310520005, 68385.76071565419]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004919579519909019, 68036.88724851457]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.00495046172134293, 67358.5678264308]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0049566285775697085, 67233.04269542955]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004967516542328021, 66669.41050490693]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.00499317208714671, 66568.19598491925]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.004993350246729521, 66087.10575952522]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07786328475203191, 2217.5709650664253]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07735039596146866, 2232.310361673686]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07658862520069219, 2255.4697714956146]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005041284503302901, 65152.873124968886]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07607045095389002, 2273.2051089613897]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005055263735105442, 64676.01683855608]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005072724704607894, 64303.0776196566]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07585191870260971, 2281.85050563811]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07470629196429263, 2314.244294088486]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005114788339529586, 63503.58551174195]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07411886543226923, 2333.832575471683]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005141807448705148, 62956.32989312113]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07391068668396177, 2340.326204418643]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005163887113758845, 62394.99050820791]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0051837259764770565, 61917.06267060093]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0052190701232394015, 61306.122577274866]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005231789910797572, 60913.064737755136]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0052426995299732215, 60681.44569656482]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0733474895140568, 2358.5610763238356]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07317854800433343, 2364.5960701720787]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005285557899201219, 59848.04099270002]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07240740022499204, 2390.153047563663]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07199590195425015, 2406.189075311842]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07120175883973122, 2433.3892488019187]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005329341335918081, 59073.32244436928]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005353950379707597, 58479.01914370131]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07064974211112507, 2453.630300215834]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005386291950621376, 57914.26862341666]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005426502033552017, 57288.91520282581]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005439850466844882, 56994.37662800193]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0054617354548124825, 56599.73436725121]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.07023574325006392, 2467.120995642004]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.06992462539410102, 2479.455708460489]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005500027935816908, 55925.58417643449]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005535166819686238, 55387.082961661254]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.00555573007841586, 55070.48631227251]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005585040852853097, 54545.260376770944]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005603775841663751, 54210.16145920919]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.06847664590615161, 2537.233899970018]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.06798899412404542, 2552.024618524129]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.06603992747049549, 2631.8924184078496]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005654341913098388, 53516.25476343773]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005664699703224618, 53174.19329736914]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005690084602124763, 52769.6109142283]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.06493856018531607, 2679.5548766737984]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.06440359181872331, 2709.3995407932953]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0057352030010001925, 52238.17396336617]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005752427083438726, 51868.71690297121]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0057883177177110775, 51395.396935543504]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005864096645179458, 50794.58915552396]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.00587826016968779, 50414.722456301744]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005888178711503237, 50045.15603654024]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0059181433669647145, 49566.949594897385]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.005956828608463388, 49331.48035710261]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0059681543895367, 48874.89318142879]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.006003092473136875, 48539.03816599567]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.006034440021186905, 48055.25018409524]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.06248590966268629, 2787.1052696443894]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.06217469842246357, 2801.1262434430387]]"
two_bar_Truss_design_problems,TPESampler,"Any[[0.0060853327375847465, 47359.2507073284]]"
