algorithm_name,sampler,solutions
weldan_beam_design,TPESampler,"Any[[1.6174300757904323, 0.012729581062244387]]"
weldan_beam_design,TPESampler,"Any[[35.39501242996902, 0.00043904]]"
weldan_beam_design,TPESampler,"Any[[18.79393891572428, 0.0008442978228360954]]"
weldan_beam_design,TPESampler,"Any[[1.6566293485335981, 0.012491204027477585]]"
weldan_beam_design,TPESampler,"Any[[1.660649866119008, 0.012371009240226266]]"
weldan_beam_design,TPESampler,"Any[[35.20317706078358, 0.00044087483494438957]]"
weldan_beam_design,TPESampler,"Any[[1.660649866119008, 0.012371009240226266]]"
weldan_beam_design,TPESampler,"Any[[1.67307076086768, 0.012271489350979757]]"
weldan_beam_design,TPESampler,"Any[[1.687225750074849, 0.01215927055061633]]"
weldan_beam_design,TPESampler,"Any[[1.696118414550066, 0.012059974411710398]]"
weldan_beam_design,TPESampler,"Any[[35.16889379246979, 0.0004415323968175125]]"
weldan_beam_design,TPESampler,"Any[[34.9262668125039, 0.0004444472087578717]]"
weldan_beam_design,TPESampler,"Any[[1.6961210200040924, 0.012059914058200125]]"
weldan_beam_design,TPESampler,"Any[[1.7066777523154804, 0.011944531431416437]]"
weldan_beam_design,TPESampler,"Any[[1.711846788142392, 0.011827268395967677]]"
weldan_beam_design,TPESampler,"Any[[1.7118583416764828, 0.011827008019304685]]"
weldan_beam_design,TPESampler,"Any[[1.7194491712540052, 0.011742024401079803]]"
weldan_beam_design,TPESampler,"Any[[1.7229178513043262, 0.011731029881951962]]"
weldan_beam_design,TPESampler,"Any[[1.7306175760872438, 0.01168684643809199]]"
weldan_beam_design,TPESampler,"Any[[1.7398463686920196, 0.011622832055437628]]"
weldan_beam_design,TPESampler,"Any[[1.7413365721396283, 0.011590458476386052]]"
weldan_beam_design,TPESampler,"Any[[1.742822808499736, 0.011557039394244658]]"
weldan_beam_design,TPESampler,"Any[[1.7536105403354698, 0.011496591704592692]]"
weldan_beam_design,TPESampler,"Any[[34.88581384130575, 0.00044506263192867776]]"
weldan_beam_design,TPESampler,"Any[[1.7536150266135542, 0.011496495938595966]]"
weldan_beam_design,TPESampler,"Any[[1.7635368726658314, 0.011432712067559695]]"
weldan_beam_design,TPESampler,"Any[[1.7635390625740428, 0.011432665867818425]]"
weldan_beam_design,TPESampler,"Any[[1.7692402045995077, 0.011373197932254223]]"
weldan_beam_design,TPESampler,"Any[[28.65449229192339, 0.0005444247937348491]]"
weldan_beam_design,TPESampler,"Any[[1.7831393376354558, 0.011327470926826153]]"
weldan_beam_design,TPESampler,"Any[[1.7911515474099997, 0.011252890082300276]]"
weldan_beam_design,TPESampler,"Any[[28.532228325865482, 0.0005471719107321567]]"
weldan_beam_design,TPESampler,"Any[[1.7969573614399215, 0.01120291267194486]]"
weldan_beam_design,TPESampler,"Any[[1.811708053055819, 0.01110799812069541]]"
weldan_beam_design,TPESampler,"Any[[1.812220341177793, 0.011097807862917556]]"
weldan_beam_design,TPESampler,"Any[[1.8196948808991984, 0.011044982510473212]]"
weldan_beam_design,TPESampler,"Any[[34.75007844046328, 0.0004468742366905232]]"
weldan_beam_design,TPESampler,"Any[[1.8199558448868876, 0.011039840324102082]]"
weldan_beam_design,TPESampler,"Any[[1.8525304404103455, 0.01099384894672679]]"
weldan_beam_design,TPESampler,"Any[[34.59524477092819, 0.00044879120986969474]]"
weldan_beam_design,TPESampler,"Any[[28.446257880129526, 0.0005489554841454403]]"
weldan_beam_design,TPESampler,"Any[[1.8555735452109277, 0.010974455090060616]]"
weldan_beam_design,TPESampler,"Any[[1.8557556562827564, 0.010797802833366787]]"
weldan_beam_design,TPESampler,"Any[[1.8557556562827564, 0.010797802833366787]]"
weldan_beam_design,TPESampler,"Any[[1.865669673936426, 0.010548798928107684]]"
weldan_beam_design,TPESampler,"Any[[1.8657153243679938, 0.010547957138635296]]"
weldan_beam_design,TPESampler,"Any[[1.8731236661449913, 0.01049134967731969]]"
weldan_beam_design,TPESampler,"Any[[1.8834796950273416, 0.01043169913056414]]"
weldan_beam_design,TPESampler,"Any[[1.8929791795342235, 0.010373863378435915]]"
weldan_beam_design,TPESampler,"Any[[1.8931718103260686, 0.010370424176226382]]"
weldan_beam_design,TPESampler,"Any[[1.9014294774334732, 0.010305590456369935]]"
weldan_beam_design,TPESampler,"Any[[34.50045273993416, 0.0004502936321659576]]"
weldan_beam_design,TPESampler,"Any[[1.9029781905698238, 0.010296471758437016]]"
weldan_beam_design,TPESampler,"Any[[1.9237311635183203, 0.010251686297178516]]"
weldan_beam_design,TPESampler,"Any[[1.9318702352544346, 0.010186163255032948]]"
weldan_beam_design,TPESampler,"Any[[1.9318702352544346, 0.010186163255032948]]"
weldan_beam_design,TPESampler,"Any[[1.9333374365549016, 0.010122988168571307]]"
weldan_beam_design,TPESampler,"Any[[28.381482649683296, 0.0005504035585335962]]"
weldan_beam_design,TPESampler,"Any[[28.254586209041932, 0.0005536924915893542]]"
weldan_beam_design,TPESampler,"Any[[34.33566283606838, 0.0004524408027164424]]"
weldan_beam_design,TPESampler,"Any[[1.95507002463596, 0.010075218287048968]]"
weldan_beam_design,TPESampler,"Any[[1.9553399142620873, 0.010011212581846202]]"
weldan_beam_design,TPESampler,"Any[[1.979547867128609, 0.009963247666268962]]"
weldan_beam_design,TPESampler,"Any[[1.9901562122593948, 0.00980885709236943]]"
weldan_beam_design,TPESampler,"Any[[1.990156485448048, 0.009808852725219096]]"
weldan_beam_design,TPESampler,"Any[[2.021354322097196, 0.009706197339240677]]"
weldan_beam_design,TPESampler,"Any[[2.0214040256142534, 0.009705422788909788]]"
weldan_beam_design,TPESampler,"Any[[2.024665160091562, 0.009630781203600287]]"
weldan_beam_design,TPESampler,"Any[[2.0253385313990093, 0.009627324103464875]]"
weldan_beam_design,TPESampler,"Any[[2.0283161626752513, 0.00949911198988387]]"
weldan_beam_design,TPESampler,"Any[[2.047189435774352, 0.009465771944295853]]"
weldan_beam_design,TPESampler,"Any[[2.0511992232911394, 0.009405577897515163]]"
weldan_beam_design,TPESampler,"Any[[28.203909839834964, 0.0005540363481730013]]"
weldan_beam_design,TPESampler,"Any[[2.054719875966729, 0.009362485015205613]]"
weldan_beam_design,TPESampler,"Any[[2.065802561331269, 0.009268426107206997]]"
weldan_beam_design,TPESampler,"Any[[34.335662537699704, 0.00045244081478085875]]"
weldan_beam_design,TPESampler,"Any[[2.065802561331269, 0.009268426107206997]]"
weldan_beam_design,TPESampler,"Any[[2.0812531874622158, 0.009186824775818912]]"
weldan_beam_design,TPESampler,"Any[[2.0997164901821925, 0.00911603951601925]]"
weldan_beam_design,TPESampler,"Any[[2.1134444160397705, 0.009080201184018886]]"
weldan_beam_design,TPESampler,"Any[[2.1226549540675563, 0.009010304004080717]]"
weldan_beam_design,TPESampler,"Any[[2.124826298189934, 0.008998545712730859]]"
weldan_beam_design,TPESampler,"Any[[2.1424377375288657, 0.008951405495620285]]"
weldan_beam_design,TPESampler,"Any[[2.145861771132891, 0.008908699569076608]]"
weldan_beam_design,TPESampler,"Any[[2.152158234109641, 0.008826824310345312]]"
weldan_beam_design,TPESampler,"Any[[2.1532065672265266, 0.00879870143990316]]"
weldan_beam_design,TPESampler,"Any[[2.1681479655892795, 0.008733525574864216]]"
weldan_beam_design,TPESampler,"Any[[2.177766483182739, 0.00869142098353841]]"
weldan_beam_design,TPESampler,"Any[[2.194764401158628, 0.008632851820950223]]"
weldan_beam_design,TPESampler,"Any[[2.196349781611954, 0.008625695400681982]]"
weldan_beam_design,TPESampler,"Any[[2.216867796798531, 0.0085380672170466]]"
weldan_beam_design,TPESampler,"Any[[2.216867796798531, 0.0085380672170466]]"
weldan_beam_design,TPESampler,"Any[[2.2330358195751203, 0.008480195931109552]]"
weldan_beam_design,TPESampler,"Any[[2.239937330403195, 0.008443007918200495]]"
weldan_beam_design,TPESampler,"Any[[2.2477652426927768, 0.008415798882713798]]"
weldan_beam_design,TPESampler,"Any[[2.2670355024603466, 0.008357888009525645]]"
weldan_beam_design,TPESampler,"Any[[2.269861401505985, 0.008347627663659032]]"
weldan_beam_design,TPESampler,"Any[[2.280431101320674, 0.008286962716759104]]"
weldan_beam_design,TPESampler,"Any[[2.280838575941347, 0.008286816167268366]]"
weldan_beam_design,TPESampler,"Any[[2.2822273689687576, 0.008219797231273349]]"
weldan_beam_design,TPESampler,"Any[[28.07596494474248, 0.0005596278489169912]]"
weldan_beam_design,TPESampler,"Any[[2.28916005512736, 0.008191285851593495]]"
weldan_beam_design,TPESampler,"Any[[2.3394317413559382, 0.008127689373242307]]"
weldan_beam_design,TPESampler,"Any[[2.339432484194867, 0.008127681052132246]]"
weldan_beam_design,TPESampler,"Any[[2.340612009948239, 0.007968929707950006]]"
weldan_beam_design,TPESampler,"Any[[34.130062358301885, 0.00045522900390568424]]"
weldan_beam_design,TPESampler,"Any[[27.9199423098462, 0.0005597484573174764]]"
weldan_beam_design,TPESampler,"Any[[2.3568188052717374, 0.007930592586341188]]"
weldan_beam_design,TPESampler,"Any[[2.3813850843957636, 0.00788029112241906]]"
weldan_beam_design,TPESampler,"Any[[2.3813850843957636, 0.00788029112241906]]"
weldan_beam_design,TPESampler,"Any[[2.405519925089894, 0.007796658173038024]]"
weldan_beam_design,TPESampler,"Any[[2.405519925089894, 0.007796658173038024]]"
weldan_beam_design,TPESampler,"Any[[2.410120898114829, 0.007740214570922582]]"
weldan_beam_design,TPESampler,"Any[[2.413364374036039, 0.007738438481308923]]"
weldan_beam_design,TPESampler,"Any[[2.4241375375939125, 0.007680748689317788]]"
weldan_beam_design,TPESampler,"Any[[27.8581934969873, 0.00056117255378603]]"
weldan_beam_design,TPESampler,"Any[[2.4385423522829757, 0.007641668581776906]]"
weldan_beam_design,TPESampler,"Any[[27.71861399348593, 0.0005638988044503792]]"
weldan_beam_design,TPESampler,"Any[[2.4405104532795234, 0.007621709508895371]]"
weldan_beam_design,TPESampler,"Any[[2.453412801156923, 0.007564473564856239]]"
weldan_beam_design,TPESampler,"Any[[33.966339178115774, 0.00045738258159225156]]"
weldan_beam_design,TPESampler,"Any[[2.453508944013972, 0.00755674909735482]]"
