algorithm_name,sampler,solutions
disc_brake_design,TPESampler,"Any[[1.276926670573844, 3.0230910128170163]]"
disc_brake_design,TPESampler,"Any[[5.3067, 1.1390720399005827]]"
disc_brake_design,TPESampler,"Any[[1.7181459540838857, 2.257087073813141]]"
disc_brake_design,TPESampler,"Any[[4.078174617244292, 1.1809987492005245]]"
disc_brake_design,TPESampler,"Any[[1.287468853489271, 3.0009839988178326]]"
disc_brake_design,TPESampler,"Any[[1.2897998957248846, 2.994026933692709]]"
disc_brake_design,TPESampler,"Any[[4.199627955479104, 1.1761724480771898]]"
disc_brake_design,TPESampler,"Any[[4.223502408708015, 1.1753351992753187]]"
disc_brake_design,TPESampler,"Any[[3.967453821142448, 1.1848641091201046]]"
disc_brake_design,TPESampler,"Any[[3.9292592128586836, 1.1858381554652544]]"
disc_brake_design,TPESampler,"Any[[4.257650787322387, 1.1741493151400249]]"
disc_brake_design,TPESampler,"Any[[3.8701914033328895, 1.1879839971041783]]"
disc_brake_design,TPESampler,"Any[[1.3078884709488074, 2.9644523086483803]]"
disc_brake_design,TPESampler,"Any[[3.851050571818888, 1.1886820532399445]]"
disc_brake_design,TPESampler,"Any[[3.7880738443824664, 1.1909926231037213]]"
disc_brake_design,TPESampler,"Any[[1.3144439361467883, 2.943488056885169]]"
disc_brake_design,TPESampler,"Any[[1.3195820485658654, 2.933294850462727]]"
disc_brake_design,TPESampler,"Any[[4.2875305102640455, 1.1730933729361182]]"
disc_brake_design,TPESampler,"Any[[4.310195688971818, 1.1722918538893516]]"
disc_brake_design,TPESampler,"Any[[3.677040049224645, 1.1951782117946161]]"
disc_brake_design,TPESampler,"Any[[3.648201159209081, 1.1963993046508443]]"
disc_brake_design,TPESampler,"Any[[3.6187674279706536, 1.1972727650543675]]"
disc_brake_design,TPESampler,"Any[[3.5831499629399257, 1.1985929023903723]]"
disc_brake_design,TPESampler,"Any[[1.3347051863416803, 2.90129217985139]]"
disc_brake_design,TPESampler,"Any[[1.3395521855965578, 2.896627480749078]]"
disc_brake_design,TPESampler,"Any[[1.340468720408673, 2.8847261013438095]]"
disc_brake_design,TPESampler,"Any[[3.5787886430312277, 1.1987676328648476]]"
disc_brake_design,TPESampler,"Any[[3.552337428485315, 1.1997504070733176]]"
disc_brake_design,TPESampler,"Any[[3.479596210989036, 1.2024995040485742]]"
disc_brake_design,TPESampler,"Any[[1.350837055147038, 2.8641282278319165]]"
disc_brake_design,TPESampler,"Any[[1.354608541242517, 2.8538820182093954]]"
disc_brake_design,TPESampler,"Any[[3.461924875565298, 1.2031674523535638]]"
disc_brake_design,TPESampler,"Any[[3.4359213147067518, 1.2041686319170177]]"
disc_brake_design,TPESampler,"Any[[1.3621108814383482, 2.842084682498793]]"
disc_brake_design,TPESampler,"Any[[1.3695829227407867, 2.8216592524507624]]"
disc_brake_design,TPESampler,"Any[[4.4035501241069195, 1.169048688823829]]"
disc_brake_design,TPESampler,"Any[[4.435060361354955, 1.1679619503060066]]"
disc_brake_design,TPESampler,"Any[[4.448341231063366, 1.1676327878484223]]"
disc_brake_design,TPESampler,"Any[[4.54927026631823, 1.1642779555378975]]"
disc_brake_design,TPESampler,"Any[[3.2935615230518325, 1.2276777645497687]]"
disc_brake_design,TPESampler,"Any[[3.2760657260071935, 1.2343987913405037]]"
disc_brake_design,TPESampler,"Any[[3.2604534657987925, 1.2395042211834597]]"
