algorithm_name,sampler,solutions
gear_train_design,TPESampler,"Any[[3.6433710146610565e-6, 30.312221900996438]]"
gear_train_design,TPESampler,"Any[[3.460574902326824, 21.447691160963824]]"
gear_train_design,TPESampler,"Any[[1.0588827122113544, 27.900475054549656]]"
gear_train_design,TPESampler,"Any[[3.4511546736228262, 21.484988845967756]]"
gear_train_design,TPESampler,"Any[[3.4399462051893965, 21.520268189253624]]"
gear_train_design,TPESampler,"Any[[0.021087114200748935, 30.260810717984224]]"
gear_train_design,TPESampler,"Any[[0.035938173479337365, 30.237273892065936]]"
gear_train_design,TPESampler,"Any[[0.04049711306251069, 30.217243685736126]]"
gear_train_design,TPESampler,"Any[[0.05924623514373106, 30.198836105764656]]"
gear_train_design,TPESampler,"Any[[3.409269421367576, 21.601121665798253]]"
gear_train_design,TPESampler,"Any[[3.399091219020611, 21.632883400222372]]"
gear_train_design,TPESampler,"Any[[3.362992465038343, 21.747105005736877]]"
gear_train_design,TPESampler,"Any[[0.08288915071496827, 30.129198499123724]]"
gear_train_design,TPESampler,"Any[[3.3563665674841014, 21.782180758474542]]"
gear_train_design,TPESampler,"Any[[3.3489452214327127, 21.78680757236222]]"
gear_train_design,TPESampler,"Any[[3.337822058116155, 21.83724059225447]]"
gear_train_design,TPESampler,"Any[[3.318703425674863, 21.87711383880766]]"
gear_train_design,TPESampler,"Any[[3.304963336738373, 21.923410431552742]]"
gear_train_design,TPESampler,"Any[[3.2705818692199036, 22.03000990349458]]"
gear_train_design,TPESampler,"Any[[3.252130397021544, 22.1081281955185]]"
gear_train_design,TPESampler,"Any[[3.234574093605959, 22.13630207219445]]"
gear_train_design,TPESampler,"Any[[0.1383342413291695, 30.000624566916805]]"
gear_train_design,TPESampler,"Any[[0.15102467601903857, 29.979865711765793]]"
gear_train_design,TPESampler,"Any[[0.15912355431971736, 29.952411932498823]]"
gear_train_design,TPESampler,"Any[[3.215181767918349, 22.195635550872858]]"
gear_train_design,TPESampler,"Any[[3.2077111337337585, 22.214030871225262]]"
gear_train_design,TPESampler,"Any[[3.2000507057671723, 22.242822232235028]]"
gear_train_design,TPESampler,"Any[[3.1930509638071776, 22.262368990595583]]"
gear_train_design,TPESampler,"Any[[3.1590837618176386, 22.354661607806722]]"
gear_train_design,TPESampler,"Any[[3.1249141120976116, 22.458621011556513]]"
gear_train_design,TPESampler,"Any[[3.110572682433486, 22.516397895395848]]"
gear_train_design,TPESampler,"Any[[3.089253785867098, 22.57221412444755]]"
gear_train_design,TPESampler,"Any[[3.063078103699385, 22.63785163000708]]"
gear_train_design,TPESampler,"Any[[3.057787975703366, 22.66729916882915]]"
gear_train_design,TPESampler,"Any[[3.0439250405358185, 22.701420269146983]]"
gear_train_design,TPESampler,"Any[[3.030194516968549, 22.745412857253726]]"
gear_train_design,TPESampler,"Any[[3.009824253944832, 22.797584031895614]]"
gear_train_design,TPESampler,"Any[[2.999450994062306, 22.835380682942024]]"
gear_train_design,TPESampler,"Any[[2.9750796349911153, 22.90556316064342]]"
gear_train_design,TPESampler,"Any[[2.9487864834332322, 22.9874964166495]]"
gear_train_design,TPESampler,"Any[[0.25698643149633416, 29.73599936024671]]"
gear_train_design,TPESampler,"Any[[2.933318676734797, 23.014309524875824]]"
gear_train_design,TPESampler,"Any[[0.27212826844326266, 29.703387616964935]]"
gear_train_design,TPESampler,"Any[[0.28764994971507285, 29.695071922761272]]"
gear_train_design,TPESampler,"Any[[2.923598323351987, 23.049839390683765]]"
gear_train_design,TPESampler,"Any[[2.9129116432138717, 23.076474922370913]]"
gear_train_design,TPESampler,"Any[[2.8888413024381236, 23.14151077545291]]"
gear_train_design,TPESampler,"Any[[2.8843922760214147, 23.16766304345212]]"
gear_train_design,TPESampler,"Any[[0.3170664619641199, 29.620208654323566]]"
gear_train_design,TPESampler,"Any[[0.3204370853355023, 29.59377243451527]]"
gear_train_design,TPESampler,"Any[[2.8757036195694745, 23.18082866156919]]"
gear_train_design,TPESampler,"Any[[2.858450826816404, 23.236915922176177]]"
gear_train_design,TPESampler,"Any[[2.849885142805033, 23.25704653041078]]"
gear_train_design,TPESampler,"Any[[2.7843855991742474, 23.446774019357775]]"
gear_train_design,TPESampler,"Any[[0.3515156027617401, 29.525529129025195]]"
gear_train_design,TPESampler,"Any[[0.36164829801164533, 29.505614178760137]]"
gear_train_design,TPESampler,"Any[[2.7730581053744414, 23.48887080257145]]"
gear_train_design,TPESampler,"Any[[2.7382112894571895, 23.5690253588308]]"
