algorithm_name,sampler,solutions
car_side_impact_design,TPESampler,"Any[[92.0049493711972, 3.6418715438721607, 10.612608524458981]]"
car_side_impact_design,TPESampler,"Any[[34.20021801865451, 3.852912442386766, 12.698511983256125]]"
car_side_impact_design,TPESampler,"Any[[39.21174249477532, 3.780561635669474, 11.704292486713129]]"
car_side_impact_design,TPESampler,"Any[[91.21056650590754, 3.586174353820604, 10.629468608675236]]"
car_side_impact_design,TPESampler,"Any[[90.06957745509135, 3.5957877759107824, 10.638185649404186]]"
car_side_impact_design,TPESampler,"Any[[33.12411880382639, 3.98817497363384, 12.698336155356557]]"
car_side_impact_design,TPESampler,"Any[[34.11093444258218, 3.8661894822172287, 12.697924582971275]]"
car_side_impact_design,TPESampler,"Any[[33.17689016560097, 3.9835747037382974, 12.697614053657594]]"
car_side_impact_design,TPESampler,"Any[[34.19926439204625, 3.8530538871692643, 12.697548965938948]]"
car_side_impact_design,TPESampler,"Any[[33.11069838473366, 3.9916387686198065, 12.6974891969665]]"
car_side_impact_design,TPESampler,"Any[[86.54417061726004, 3.8780339935748063, 10.662059171944982]]"
car_side_impact_design,TPESampler,"Any[[34.2265128699749, 3.8526332524022067, 12.697436191640836]]"
car_side_impact_design,TPESampler,"Any[[34.22658439210334, 3.8525601629240205, 12.697241472066958]]"
car_side_impact_design,TPESampler,"Any[[87.24604496548159, 3.5941458919440814, 10.676511755933468]]"
car_side_impact_design,TPESampler,"Any[[85.60237569184628, 3.613629009456085, 10.685908176928514]]"
car_side_impact_design,TPESampler,"Any[[85.04523951009097, 3.58545819676941, 10.692006392323593]]"
car_side_impact_design,TPESampler,"Any[[84.98579430027358, 3.5957733740534255, 10.696938884085583]]"
car_side_impact_design,TPESampler,"Any[[84.44122899855758, 3.58894287643078, 10.701106137356824]]"
car_side_impact_design,TPESampler,"Any[[83.62740547691327, 3.5866829392805073, 10.708492862171092]]"
car_side_impact_design,TPESampler,"Any[[34.1580137890856, 3.858143931899432, 12.69723976906893]]"
car_side_impact_design,TPESampler,"Any[[33.81057478860686, 3.9036310876751856, 12.697211426041974]]"
car_side_impact_design,TPESampler,"Any[[33.674592098412944, 3.9194498590803875, 12.697160866229222]]"
car_side_impact_design,TPESampler,"Any[[34.22515337840389, 3.8526336213870094, 12.697157537397977]]"
car_side_impact_design,TPESampler,"Any[[81.71764133737663, 3.585363587747894, 10.726805409261031]]"
car_side_impact_design,TPESampler,"Any[[81.26701736145819, 3.588108035852211, 10.740095702428302]]"
car_side_impact_design,TPESampler,"Any[[79.44760242666112, 3.58525, 10.748046312270976]]"
car_side_impact_design,TPESampler,"Any[[77.53273401223389, 3.885286983244833, 10.761361563368471]]"
car_side_impact_design,TPESampler,"Any[[77.33977039024253, 3.593822582105644, 10.76813343684345]]"
car_side_impact_design,TPESampler,"Any[[33.80752099451208, 3.9037136623863318, 12.697122459126373]]"
car_side_impact_design,TPESampler,"Any[[34.216413592603395, 3.852830222618559, 12.696963999542493]]"
car_side_impact_design,TPESampler,"Any[[34.247517481820914, 3.8514548938744353, 12.69694602975878]]"
car_side_impact_design,TPESampler,"Any[[74.07476589735484, 3.8922046054057144, 10.777803927789833]]"
car_side_impact_design,TPESampler,"Any[[34.21291094293398, 3.852837562632397, 12.69690005781936]]"
car_side_impact_design,TPESampler,"Any[[77.61131844662344, 3.58525, 10.786568785946331]]"
car_side_impact_design,TPESampler,"Any[[75.401578403369, 3.58629672316772, 10.79319687807343]]"
car_side_impact_design,TPESampler,"Any[[75.42624026144374, 3.586079075997652, 10.798517125000597]]"
car_side_impact_design,TPESampler,"Any[[33.3336678342689, 3.960575266038101, 12.696712872517015]]"
car_side_impact_design,TPESampler,"Any[[34.245586510406326, 3.8514663811554986, 12.69667774324523]]"
car_side_impact_design,TPESampler,"Any[[34.25147584306511, 3.851383908215677, 12.696611838792952]]"
car_side_impact_design,TPESampler,"Any[[73.99206609900008, 3.587444560907527, 10.812741567273687]]"
car_side_impact_design,TPESampler,"Any[[34.13042225554288, 3.865900677704288, 12.696481943109777]]"
car_side_impact_design,TPESampler,"Any[[33.601820733688974, 3.926369785847618, 12.696465105227963]]"
car_side_impact_design,TPESampler,"Any[[72.43470597971029, 3.5852820902740103, 10.827584863657375]]"
car_side_impact_design,TPESampler,"Any[[71.76606114695615, 3.585319059982195, 10.8343067530203]]"
car_side_impact_design,TPESampler,"Any[[71.33662174055347, 3.614460069427949, 10.846372964473101]]"
car_side_impact_design,TPESampler,"Any[[71.29429344353913, 3.5890787260525188, 10.8470694338898]]"
car_side_impact_design,TPESampler,"Any[[69.14357638257177, 3.782191777679981, 10.856347958532451]]"
car_side_impact_design,TPESampler,"Any[[68.65022140223398, 3.5853917849478685, 10.858217157993877]]"
car_side_impact_design,TPESampler,"Any[[33.20169810533521, 3.976920072807635, 12.696435644034768]]"
car_side_impact_design,TPESampler,"Any[[67.58950956339409, 3.585395817333704, 10.86860867583706]]"
car_side_impact_design,TPESampler,"Any[[66.46126920392203, 3.5977352261694073, 10.879289931686898]]"
car_side_impact_design,TPESampler,"Any[[34.26475237712233, 3.850827085314869, 12.696423702872295]]"
car_side_impact_design,TPESampler,"Any[[34.29600305680846, 3.8505329723333563, 12.696274935227784]]"
car_side_impact_design,TPESampler,"Any[[34.26803008564838, 3.850902557820027, 12.696180484611068]]"
car_side_impact_design,TPESampler,"Any[[34.3072233468606, 3.8495574026352477, 12.696118059477303]]"
car_side_impact_design,TPESampler,"Any[[64.26772819013598, 3.6164615328361247, 10.900426492072889]]"
car_side_impact_design,TPESampler,"Any[[63.259411505110066, 3.5857822459626263, 10.91401420752441]]"
car_side_impact_design,TPESampler,"Any[[62.13056683321582, 3.585395471925083, 10.925482708108461]]"
car_side_impact_design,TPESampler,"Any[[61.72877539452623, 3.607193172554643, 10.934015573123329]]"
car_side_impact_design,TPESampler,"Any[[61.1327912900638, 3.5888568309048785, 10.939922770378107]]"
car_side_impact_design,TPESampler,"Any[[59.75938084498623, 3.787642914294536, 10.948759992175304]]"
car_side_impact_design,TPESampler,"Any[[34.29924985336885, 3.8505560074186933, 12.695963790237457]]"
car_side_impact_design,TPESampler,"Any[[34.413591265481735, 3.8458311817961186, 12.695866296088248]]"
car_side_impact_design,TPESampler,"Any[[34.32494071383315, 3.848845206998534, 12.695777501977545]]"
car_side_impact_design,TPESampler,"Any[[34.32520842996872, 3.848845207131334, 12.69577188131443]]"
car_side_impact_design,TPESampler,"Any[[34.32520842996872, 3.848845207131334, 12.69577188131443]]"
car_side_impact_design,TPESampler,"Any[[34.32520842996872, 3.848845207131334, 12.69577188131443]]"
car_side_impact_design,TPESampler,"Any[[56.564045230841515, 3.7389075512554735, 10.973970338930519]]"
car_side_impact_design,TPESampler,"Any[[34.1970407246599, 3.8531827248529824, 12.69565122585465]]"
car_side_impact_design,TPESampler,"Any[[34.22677480226716, 3.852402815241616, 12.69563915958221]]"
car_side_impact_design,TPESampler,"Any[[57.46714164695271, 3.5977644047395394, 10.988709180149772]]"
car_side_impact_design,TPESampler,"Any[[55.48758529196407, 3.585401028462643, 10.994806311426961]]"
car_side_impact_design,TPESampler,"Any[[54.42691442313084, 3.5854050608484784, 11.005196406107324]]"
car_side_impact_design,TPESampler,"Any[[34.335009903739355, 3.848655499116511, 12.69561402258064]]"
car_side_impact_design,TPESampler,"Any[[33.347747364146514, 3.959178256542731, 12.695607466933602]]"
car_side_impact_design,TPESampler,"Any[[53.81051203097356, 3.58579518692114, 11.016958613512926]]"
car_side_impact_design,TPESampler,"Any[[52.47507654192887, 3.5878139012364123, 11.026574483641731]]"
car_side_impact_design,TPESampler,"Any[[34.33500990541027, 3.848655499116511, 12.695552394120988]]"
car_side_impact_design,TPESampler,"Any[[51.82827542281165, 3.5863386790080924, 11.03259315188107]]"
car_side_impact_design,TPESampler,"Any[[49.88661607890077, 3.9549855302515886, 11.040105118221057]]"
car_side_impact_design,TPESampler,"Any[[52.75531884131802, 3.586186479886924, 11.042265676427665]]"
car_side_impact_design,TPESampler,"Any[[49.819300053937106, 3.5876601565724004, 11.052777719224325]]"
car_side_impact_design,TPESampler,"Any[[34.2520385546133, 3.8513488608801585, 12.695528779705988]]"
car_side_impact_design,TPESampler,"Any[[34.341877165907974, 3.8483227784590035, 12.695401232263933]]"
car_side_impact_design,TPESampler,"Any[[33.11201153241079, 3.9886058716683173, 12.695390284048854]]"
car_side_impact_design,TPESampler,"Any[[34.299528879449966, 3.850327072723255, 12.695321267001653]]"
car_side_impact_design,TPESampler,"Any[[33.35303384251626, 3.960286627969944, 12.695257918943092]]"
car_side_impact_design,TPESampler,"Any[[33.914000692199195, 3.889975822295025, 12.695170668914969]]"
car_side_impact_design,TPESampler,"Any[[34.32080004330454, 3.8493286313251205, 12.695159700791255]]"
car_side_impact_design,TPESampler,"Any[[34.22912071825935, 3.8521395219303147, 12.695139972119216]]"
car_side_impact_design,TPESampler,"Any[[34.23471761773421, 3.8518919216007794, 12.695120728453968]]"
car_side_impact_design,TPESampler,"Any[[33.67656670899206, 3.939763840578889, 12.69508645678919]]"
car_side_impact_design,TPESampler,"Any[[34.24765425225647, 3.8514685116851766, 12.695058307659119]]"
car_side_impact_design,TPESampler,"Any[[34.264196921612616, 3.8511420049462033, 12.695050048957047]]"
car_side_impact_design,TPESampler,"Any[[34.25762983319216, 3.851333976582803, 12.695026694303856]]"
car_side_impact_design,TPESampler,"Any[[33.09922683804742, 3.999476126350938, 12.695024835738177]]"
car_side_impact_design,TPESampler,"Any[[33.92374849247502, 3.889681053381776, 12.695014801642643]]"
car_side_impact_design,TPESampler,"Any[[34.21113391606753, 3.8529326237550343, 12.6950035022228]]"
car_side_impact_design,TPESampler,"Any[[46.0861884653071, 3.8666754358123265, 11.087082246168965]]"
car_side_impact_design,TPESampler,"Any[[48.244405834464004, 3.5909747132860486, 11.095492782876944]]"
car_side_impact_design,TPESampler,"Any[[34.18111559509807, 3.8575494092608418, 12.694992773620823]]"
car_side_impact_design,TPESampler,"Any[[34.42197244241412, 3.8458745124534888, 12.694647132947583]]"
car_side_impact_design,TPESampler,"Any[[34.12385394189601, 3.865918479879975, 12.694536851695036]]"
car_side_impact_design,TPESampler,"Any[[34.436305178729526, 3.8450786839781266, 12.694536076305928]]"
car_side_impact_design,TPESampler,"Any[[34.4620751197463, 3.844573433308625, 12.694535541982182]]"
car_side_impact_design,TPESampler,"Any[[47.1702912474252, 3.610908435601607, 11.111579271929592]]"
car_side_impact_design,TPESampler,"Any[[47.09401798640898, 3.612429879697558, 11.11199802568411]]"
car_side_impact_design,TPESampler,"Any[[34.395296560966706, 3.8466852051548077, 12.69450407265014]]"
car_side_impact_design,TPESampler,"Any[[34.42210537156422, 3.8458725480161946, 12.694404470920668]]"
car_side_impact_design,TPESampler,"Any[[34.4482142298271, 3.844649362680748, 12.694193001603917]]"
car_side_impact_design,TPESampler,"Any[[34.21429093996302, 3.8528905854841557, 12.69410912870187]]"
car_side_impact_design,TPESampler,"Any[[34.49877786881701, 3.8431031994798226, 12.693980567087902]]"
car_side_impact_design,TPESampler,"Any[[34.42695293071503, 3.845730461032923, 12.693939955512235]]"
car_side_impact_design,TPESampler,"Any[[34.26495436171641, 3.8511419733826466, 12.693877014299108]]"
car_side_impact_design,TPESampler,"Any[[46.62269336903721, 3.6201317726026, 11.128572704822655]]"
car_side_impact_design,TPESampler,"Any[[34.22783155957663, 3.8529899769582645, 12.693799731575599]]"
car_side_impact_design,TPESampler,"Any[[34.13209277276498, 3.8651844205121764, 12.693608825445391]]"
car_side_impact_design,TPESampler,"Any[[46.46759193352145, 3.6201344427398183, 11.13017513370268]]"
car_side_impact_design,TPESampler,"Any[[46.39577132748619, 3.6249063586705, 11.132050783912476]]"
car_side_impact_design,TPESampler,"Any[[34.40224769631803, 3.8466289323275134, 12.693431576564619]]"
car_side_impact_design,TPESampler,"Any[[47.94940208208611, 3.5911967773241513, 11.132887449703585]]"
car_side_impact_design,TPESampler,"Any[[46.913807934839916, 3.6136312164528, 11.138755067946713]]"
