algorithm_name,sampler,solutions
four_bar_plane_truss,TPESampler,"Any[[1400.2294284926897, 0.03998447010746075]]"
four_bar_plane_truss,TPESampler,"Any[[3048.4580085254806, 0.002762492271393652]]"
four_bar_plane_truss,TPESampler,"Any[[1401.3535736454912, 0.03987277045979713]]"
four_bar_plane_truss,TPESampler,"Any[[2637.249568900548, 0.006211922764782714]]"
four_bar_plane_truss,TPESampler,"Any[[2633.412837706787, 0.006254057248507436]]"
four_bar_plane_truss,TPESampler,"Any[[1403.9102773453926, 0.03967582151121771]]"
four_bar_plane_truss,TPESampler,"Any[[2650.790265082969, 0.006051524665019077]]"
four_bar_plane_truss,TPESampler,"Any[[1404.5225477446184, 0.03957071083226786]]"
four_bar_plane_truss,TPESampler,"Any[[1406.5713870255224, 0.03943056096921175]]"
four_bar_plane_truss,TPESampler,"Any[[2615.7663735436495, 0.006479716176780093]]"
four_bar_plane_truss,TPESampler,"Any[[1407.4497581880528, 0.03929444289146712]]"
four_bar_plane_truss,TPESampler,"Any[[1408.5697510867171, 0.03918686483857416]]"
four_bar_plane_truss,TPESampler,"Any[[1409.2698935801461, 0.039150743876415754]]"
four_bar_plane_truss,TPESampler,"Any[[2614.598802267574, 0.0064935784865918665]]"
four_bar_plane_truss,TPESampler,"Any[[3046.6692128559985, 0.0027830284971848817]]"
four_bar_plane_truss,TPESampler,"Any[[1411.0367605515844, 0.03899297020122091]]"
four_bar_plane_truss,TPESampler,"Any[[1412.3520521004064, 0.03884552232767191]]"
four_bar_plane_truss,TPESampler,"Any[[2608.8866753558614, 0.00656969651110461]]"
four_bar_plane_truss,TPESampler,"Any[[1414.0610541947065, 0.03872332132658472]]"
four_bar_plane_truss,TPESampler,"Any[[1415.1114300546367, 0.03867087777620729]]"
four_bar_plane_truss,TPESampler,"Any[[1416.2367756310289, 0.038534277789715146]]"
four_bar_plane_truss,TPESampler,"Any[[1417.643126448349, 0.03843666134401741]]"
four_bar_plane_truss,TPESampler,"Any[[1419.8245485559664, 0.038328993529426765]]"
four_bar_plane_truss,TPESampler,"Any[[1420.264697008223, 0.03821228253475469]]"
four_bar_plane_truss,TPESampler,"Any[[1421.1183285578102, 0.03812513376003184]]"
four_bar_plane_truss,TPESampler,"Any[[1421.6643997311837, 0.03805056300557979]]"
four_bar_plane_truss,TPESampler,"Any[[1423.6250945966644, 0.037935574094358646]]"
four_bar_plane_truss,TPESampler,"Any[[2603.6584141958933, 0.00660971984563784]]"
