problem_name,best_HV,error,current_instance,confidence_interval_90,confidence_interval_95,confidence_interval_98,confidence_interval_99
pressure_vessel,3.9309510602554726e10,0.1,1,"[733588,183397,81510,45850,29344,20378,14972,11463,9057,7336]","[1041436,260359,115716,65090,41658,28929,21254,16273,12858,10415]","[1471744,367936,163528,91984,58870,40882,30036,22996,18170,14718]","[1797525,449382,199725,112346,71901,49932,36685,28087,22192,17976]"
"[3.097574756179945e10,3.9309510602554726e10,6.320208589930863e9,3.4581141949346848e9,3.4581141949346848e9,3.4581141949346848e9,3.456912768672017e9,2.58448436272633e9,7.161150495059425e8,1.036804850585871e8,1.036804850585871e8,1.036804850585871e8,9.756828140976827e7,9.756828140976827e7,9.756828140976827e7,9.756828140976827e7,9.756828140976827e7,9.70320967334618e7,9.70320967334618e7,8.786622628191896e7,7.974142678318629e7,7.627072451581308e7,7.627072451581308e7,7.163013054460932e7,7.018180616141076e7,6.554796813276575e7,6.531742687853602e7,4.593604293671052e7,4.593604293671052e7,4.07670935522021e7,4.017552954229688e7,3.87376345515485e7,3.1895300197659306e7,3.16902633285726e7,2.1609041533938255e7,1.9665412301205777e7,1.7722704080065474e7,1.7722704080065474e7,1.5780916661177982e7,1.5780916661177982e7,1.5780916661177982e7,1.5780916661177982e7,1.5780916661177982e7,1.5780916661177982e7,1.5780916661177982e7,1.5780916661177982e7,1.5780916661177982e7,1.5780916661177982e7,1.5780916661177982e7,1.5780916661177982e7,1.5780916661177982e7,1.5780916661177982e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7,1.5489109603299946e7]"
,,,,,,,
vibrating_platform,3571.576363866986,0.10000000000000002,2,"[1409,353,157,89,57,40,29,23,18,15]","[2000,500,223,125,80,56,41,32,25,20]","[2827,707,315,177,114,79,58,45,35,29]","[3452,863,384,216,139,96,71,54,43,35]"
"[501.21564918751415,484.440209332707,497.82946515060655,498.69601844016313,498.69601844016313,715.1034442073254,2002.7373437474407,2002.7373437474407,2002.7373437474407,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986,3571.576363866986]"
,,,,,,,
two_bar_Truss_design_problems,6965.725675896134,0.10000000000000002,3,"[3166,792,352,198,127,88,65,50,40,32]","[4495,1124,500,281,180,125,92,71,56,45]","[6352,1588,706,397,255,177,130,100,79,64]","[7758,1940,862,485,311,216,159,122,96,78]"
"[0.0,0.0,0.0,1596.9101765944324,1596.9101765944324,4293.733910179613,4293.733910179613,4293.733910179613,4293.733910179613,6884.065934010363,6965.725675896134,6965.725675896134,6965.725675896134,6965.725675896134,6965.725675896134,6965.725675896134,6965.725675896134,6965.725675896134,6965.725675896134,6393.102072035894,6393.102072035894,6393.102072035894,6393.102072035894,6393.102072035894,6393.102072035894,6393.102072035894,6393.102072035894,6393.102072035894,6393.102072035894,6393.102072035894,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6209.934226713877,6483.580001460523,6483.580001460523,6483.580001460523,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,6379.6490869246145,2227.571367281935,2227.571367281935,2227.571367281935,2227.571367281935,2227.571367281935,2227.571367281935,2227.571367281935,2227.571367281935,2227.571367281935,2227.571367281935,2227.571367281935,2227.571367281935,2227.571367281935,2227.571367281935]"
,,,,,,,
weldan_beam_design,7.202923846731191,0.1,4,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[7.1846477398111075,7.18101171357995,7.1807341191137795,7.180626889522653,7.180634421227955,7.180630513681988,7.1806513550904425,7.180676568238133,7.180619226588883,7.180618878849318,7.1806212592979906,7.180588703539685,7.180638385358233,7.180624046126601,7.180698456980043,7.180692718143278,7.180646743966873,7.180671323313517,7.1806503312834815,7.180615731884647,7.180623553481078,7.180638254589508,7.180644396695968,7.1806366378904105,7.180609905946832,7.180634197265972,7.18064764461361,7.183531701992275,7.183558364354308,7.19093353327293,7.180660594694852,7.188816060064913,7.1888054413662745,7.202860166332401,7.202866293788348,7.2028822397589884,7.2029166726067135,7.202897005734671,7.202892008148781,7.202889894059651,7.202888610230851,7.202886280442841,7.202891600836866,7.202923846731191,7.202872837532089,7.202861889673356,7.202857608977156,7.202917027982315,7.202913871974969,7.202873935029744,7.202895556628875,7.202908693528365,7.202894453251742,7.202889199333962,7.202890975865765,7.2028882437371085,7.202889968896098,7.2029063603996635,7.202919442956944,7.202870662043191,7.202869633341125,7.202864995225857,7.20286121917482,7.202888552164238,7.202889592307032,7.202888838595759,7.202888551177141,7.20287214356646,7.202868788325669,7.20287638835476,7.2028666971997355,7.202918448441576,7.202901113594856,7.202898922723152,7.202884290668023,7.20290983349962,7.180674219164112,7.180664223250861,7.180650456549661,7.18063638160744,7.180641120892053,7.180640557427899,7.180639981666615,7.180639760583685,7.180639790966901,7.1806397330617475,7.180639997682946,7.180640499485966,7.1806405328478995,7.180640569778774,7.180639641607581,7.1806404610031755,7.180642503734184,7.180638094259521,7.180637345095985,7.180640829794087,7.18063717483029,7.180635619810141,7.180641868962691,7.1806397219815965]"
,,,,,,,
disc_brake_design,5.964216082523332,0.1,5,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
