problem_name,best_HV,error,current_instance,confidence_interval_90,confidence_interval_95,confidence_interval_98,confidence_interval_99
pressure_vessel,1.105610720940515e13,0.09999999999999999,1,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[1.1021618045246059e13,1.1041646588183307e13,1.1036171040949361e13,1.102020701870959e13,1.1023303300066914e13,1.1039792186191266e13,1.1045940037586174e13,1.1047446656225049e13,1.1043628105700299e13,1.1031809311839727e13,1.1038237459895145e13,1.1036202780607814e13,1.1029659352092064e13,1.1038349351231582e13,1.1039650529889398e13,1.1005858377209469e13,1.1045662933087871e13,1.1016472087248957e13,1.1042542844863059e13,1.1055306233636625e13,1.1041930418579977e13,1.1031204546345057e13,1.1039558932068951e13,1.1053421951971445e13,1.103037775658019e13,1.1016592919504174e13,1.1051553607182715e13,1.1021713431827723e13,1.1045900970365486e13,1.104556266938842e13,1.1014484065005537e13,1.102417519711056e13,1.103491704733118e13,1.1044967265499418e13,1.1028950090810473e13,1.1043156506438406e13,1.1018126249212203e13,1.1031845088802771e13,1.105610720940515e13,1.104312943238672e13,1.1031257218496121e13,1.1044194485681662e13,1.1037460787282082e13,1.1030734080205088e13,1.1023732566548807e13,1.10253960627575e13,1.1024131371491736e13,1.1048277534373857e13,1.102335642482439e13,1.1025489584897818e13,1.1030405620292021e13,1.1018863732996803e13,1.1011470301336586e13,1.103326383077488e13,1.1035694923624785e13,1.1022442849200514e13,1.103099591411975e13,1.1036335341704436e13,1.103836844520798e13,1.1031738250869902e13,1.1027413896499887e13,1.1048934922348674e13,1.1024612835324703e13,1.1044040921612188e13,1.104103120195163e13,1.1041730219858195e13,1.1013577137659797e13,1.1016836772195672e13,1.1029242101887764e13,1.1045375912445068e13,1.1029621323429861e13,1.1038672259172828e13,1.1021943820730717e13,1.1040884155881037e13,1.103801524151279e13,1.1034980087559219e13,1.1041826738856736e13,1.1023345773028707e13,1.103717676783639e13,1.1048954920262836e13,1.1028469981940084e13,1.1034953406440283e13,1.1044838647737697e13,1.1036807986388863e13,1.103535659562983e13,1.1048327055601553e13,1.1025135233415049e13,1.1044641527954375e13,1.1048258096541355e13,1.1028965641932365e13,1.1024194549290379e13,1.1052793638110387e13,1.102774594630211e13,1.1030324959675455e13,1.1028103190752398e13,1.1028540387021316e13,1.1016527005891752e13,1.10242447038898e13,1.1046379596200486e13,1.1004443126974562e13]"
,,,,,,,
vibrating_platform,825.3832921531648,0.1,2,"[19,5,3,2,1,1,1,1,1,1]","[27,7,3,2,2,1,1,1,1,1]","[38,10,5,3,2,2,1,1,1,1]","[46,12,6,3,2,2,1,1,1,1]"
"[724.8852806764652,730.8593438114965,736.0334554683571,743.8591794011847,754.0570403911332,763.0119052478793,770.5661666767829,778.6757740597178,789.8447621956476,796.3380623843118,802.093643764791,807.9640222620654,817.1435469480693,824.638003848584,825.1834560188358,825.3797927748285,825.3828864590466,825.3827348248844,825.3825285214323,825.3826089730051,825.3828574515828,825.3829626607808,825.3828795413293,825.3828199200274,825.3831096937049,825.3828317565276,825.3828052880291,825.3827231414659,825.3830359004618,825.3830364088509,825.3827464411665,825.3830253287963,825.3828161685763,825.3828429948134,825.3825383976548,825.3830836165206,825.3828382613885,825.3827918599633,825.3828391253718,825.3829258463809,825.3828342957185,825.3830350143519,825.382985240479,825.3824776821432,825.3828095547249,825.3830292333132,825.3830778541593,825.3827117432634,825.3831451452645,825.3829107466685,825.3825492689376,825.3832921531648,825.3829345590051,825.3832269383926,825.3829335074663,825.3828897578582,825.3830227304519,825.3831955739017,825.382958061214,825.3829526016319,825.3831022798099,825.3828150237308,825.383068372316,825.3827169392739,825.3829631547296,825.3830258785716,825.3828274542547,825.3826696732751,825.3831222845926,825.3829015518886,825.3827556717029,825.3831516735343,825.383242836665,825.383176753055,825.3830627600526,825.3829368920931,825.382909656123,825.3831997148917,825.3829335928161,825.383192653467,825.3829159942808,825.383004380302,825.3829238792994,825.3830736405564,825.3831095811328,825.3829093090598,825.3830238924613,825.3826529669677,825.3832020779296,825.3831660556402,825.3831393215586,825.382869233611,825.3830800131631,825.3831912327481,825.3830880346529,825.3828589798082,825.383081370232,825.3829146298799,825.383022273374,825.3831572271358]"
,,,,,,,
two_bar_Truss_design_problems,8875.205183360002,0.1,3,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[8870.033182640145,8873.885246593314,8874.569209300673,8872.642113622593,8875.1176926384,8873.380907193025,8872.790950249202,8873.136537263203,8872.201023921672,8869.849777365933,8874.07199659913,8872.07687062148,8871.799912625815,8868.84131210105,8872.331682728447,8872.937166421663,8872.086650043746,8872.800524221626,8872.325141345817,8873.468924203333,8865.373151483203,8873.979005274681,8871.48607410877,8875.205183360002,8869.974654295367,8871.031078975235,8873.469703944333,8871.536258568654,8873.154518688125,8873.881984220952,8870.196805341606,8873.906116076161,8874.904619308989,8874.990339685253,8872.641597893002,8872.3600293114,8873.094081038624,8874.25211949444,8873.447937631156,8873.549546033359,8870.724114417351,8870.586233234992,8868.769591742037,8873.046123970445,8873.503328200053,8875.13607954027,8870.28703368242,8871.294531428237,8871.2728264309,8874.164651319557,8872.280365627412,8872.470893496258,8873.914399583773,8869.31769526178,8871.31659741536,8871.923069325121,8873.677736977068,8872.87644763501,8872.665208644294,8871.410251342148,8872.137985930109,8871.752293745381,8871.252723684887,8870.653422422642,8872.686068699903,8872.738005601717,8873.248245615314,8873.991867078497,8871.58266748332,8871.82063793823,8870.517012270851,8871.484923095588,8873.479183384603,8874.448355873368,8870.994619121857,8871.833547224098,8869.327636654512,8873.166174113472,8874.231564328224,8869.962321228973,8870.74558532651,8865.558770068563,8869.302722435115,8872.418671733221,8870.4777140998,8870.369878068423,8873.459141000265,8871.816422398906,8874.152428171099,8873.836102429432,8871.989491996843,8871.773299949144,8872.628170323913,8873.626048939206,8874.66147188093,8874.721892644506,8872.566998808486,8874.341502076923,8872.35259052503,8872.661484453824]"
,,,,,,,
weldan_beam_design,7.622120952493084,0.1,4,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[7.487842132519184,7.585450303212963,7.598893696949018,7.608384569048605,7.613796334405565,7.6139563519660864,7.614147798390231,7.6144219995641205,7.6204697014270595,7.620487666517482,7.620556850370533,7.620351103305346,7.62058299210621,7.6205303970564895,7.6205281553515665,7.620611610762572,7.6209055666611265,7.620778897211095,7.6214217457226265,7.621439985155191,7.6213720781000465,7.621531427104782,7.6213955479547355,7.621373704984897,7.621439993650926,7.621606301045598,7.621756397922271,7.621718202772485,7.621665432148204,7.621649093395706,7.621605311650978,7.621703294365999,7.62158858569698,7.621708495304238,7.621589899506124,7.621550272639425,7.621812677634615,7.621858361254625,7.621832457634843,7.621950062331057,7.621700034752288,7.6216587163635205,7.621642900666143,7.621598490623389,7.621907992571838,7.621864587913329,7.6217504607293876,7.62197112169021,7.621940625312503,7.621855198754331,7.6217920706444575,7.621670322677117,7.6218310274758485,7.621858451248316,7.621917617078715,7.6219144556253475,7.622120952493084,7.621835585089442,7.6215536875295795,7.621996664573627,7.6218459735861135,7.621847475056151,7.62199162088699,7.621963541265779,7.621879414417737,7.62192348349977,7.622101368961018,7.6220099563323265,7.621956457177534,7.6219313477389,7.622094239823591,7.622008046210944,7.622011217154247,7.621790467210401,7.622078152883664,7.621984444620545,7.6219005652246565,7.6218793732127015,7.622060599702263,7.621827728040832,7.621908737709098,7.622033324246747,7.622003491030155,7.621891116994979,7.621793171303935,7.621817364493363,7.6217571844061505,7.621863159215484,7.621983903967587,7.621904260823995,7.621924220612597,7.621843439148299,7.6218217117256035,7.622007393882338,7.621997963828522,7.622093002767968,7.621778776579134,7.62174967425059,7.621506183429315,7.6217642475023295]"
,,,,,,,
disc_brake_design,6.072291583951607,0.1,5,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
