problem_name,best_HV,error,current_instance,confidence_interval_90,confidence_interval_95,confidence_interval_98,confidence_interval_99
pressure_vessel,1.1165527303545082e13,0.09999999999999999,1,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[1.1093594578447895e13,1.1144634649837188e13,1.1154752068766164e13,1.1158474456973887e13,1.116064498477232e13,1.1161383482403006e13,1.1163068095181268e13,1.1163525667153365e13,1.1164030106833152e13,1.1164331225596879e13,1.1164485080512166e13,1.1164527944997207e13,1.1164528412604719e13,1.1164761121182863e13,1.116484195798231e13,1.1164845763489002e13,1.1164845763489002e13,1.1164845763489004e13,1.1164845763489004e13,1.1164845839488209e13,1.1164845980907951e13,1.116485847095936e13,1.116485847095936e13,1.1164867783369715e13,1.1164975300848871e13,1.1165000636375469e13,1.116523583478738e13,1.116527088155452e13,1.1165272284007145e13,1.1165342706763707e13,1.1165342706763707e13,1.1165342706763707e13,1.1165342908169611e13,1.116535406392831e13,1.116535406392831e13,1.1165354102635248e13,1.116535411343768e13,1.1165356815798271e13,1.1165356815798271e13,1.1165356815798271e13,1.116535740069604e13,1.116536282979036e13,1.116536282979036e13,1.116536282979036e13,1.116536282979036e13,1.116538158748998e13,1.116538282104169e13,1.1165404622030873e13,1.1165404622030873e13,1.1165404622030873e13,1.1165420283635713e13,1.1165423944663965e13,1.1165423944663965e13,1.1165423944663965e13,1.1165423944663965e13,1.1165424580906781e13,1.1165428833312242e13,1.1165428833312242e13,1.1165428833312242e13,1.1165428833312242e13,1.116545356914525e13,1.116545356914525e13,1.116545363252906e13,1.1165453824474832e13,1.1165453824474832e13,1.1165453824474832e13,1.1165462135284268e13,1.1165462135300385e13,1.1165462135300385e13,1.1165462139593992e13,1.1165491403785744e13,1.1165491403785744e13,1.1165491403785744e13,1.1165491403785744e13,1.1165491403785744e13,1.1165491403785744e13,1.1165491403785744e13,1.1165491403785744e13,1.1165491440561129e13,1.1165491451429941e13,1.1165491451429941e13,1.1165491451429941e13,1.1165492998529412e13,1.1165492998529412e13,1.116549456968311e13,1.116549456968311e13,1.116549456968311e13,1.116549816960429e13,1.1165503429649492e13,1.1165503429649492e13,1.1165509994688955e13,1.1165509994688955e13,1.1165509994688955e13,1.1165509994688955e13,1.1165510003143957e13,1.1165510003143957e13,1.1165510003143957e13,1.1165527264877166e13,1.1165527264877166e13,1.1165527303545082e13]"
,,,,,,,
vibrating_platform,825.0072043328341,0.1,2,"[31,8,4,2,2,1,1,1,1,1]","[43,11,5,3,2,2,1,1,1,1]","[61,16,7,4,3,2,2,1,1,1]","[74,19,9,5,3,3,2,2,1,1]"
"[707.0151668441163,711.810230121314,717.8700399976987,728.2929296956781,734.9355853764788,735.2771590976462,741.4508378265994,745.6195460725633,777.489562725182,781.9156512282016,809.3038231607003,820.0213689558254,823.6690837524112,824.2921366180715,824.9932863078734,824.999893564379,825.0016674569912,825.0061507779634,825.0062043945483,825.0062742027137,825.0063333086042,825.0066765069873,825.006701248649,825.0067029492377,825.0070445737095,825.0070609725163,825.0070658783122,825.0070663436387,825.0070672776092,825.0070872775221,825.0071021025549,825.0071248805299,825.007126223474,825.0071264740951,825.007126651908,825.0071267861887,825.0071022107553,825.007117443581,825.0071227269007,825.0071233395851,825.0071237525108,825.007123950572,825.0071241938957,825.0071243367001,825.0071244732277,825.0071245911455,825.007102889507,825.0071203175839,825.0071265587507,825.0071269127267,825.0071270953545,825.0071271892953,825.0071272410155,825.0071273717722,825.0071430260795,825.0071430260796,825.0071430608618,825.0071430608624,825.0071431300628,825.0071431833657,825.0071432049625,825.0071432049625,825.0071432092784,825.0071190578401,825.0071410350589,825.0071419592762,825.0071164263165,825.0071270541803,825.0071270541803,825.0071278431633,825.0071411454832,825.0071419036094,825.0071419237975,825.0071423089087,825.0071423516093,825.0071425654794,825.0071426401689,825.0071427316869,825.0072038791853,825.0072039246484,825.0072039662593,825.0072040172512,825.0072040726113,825.0072040827295,825.0072040911217,825.0072041210734,825.007204148693,825.0072041672713,825.0072041864433,825.0072042143261,825.0072042143261,825.0072042315544,825.0072042484841,825.0072042815987,825.0072042815987,825.0072042815987,825.007204294948,825.0072043004734,825.007204314412,825.0072043328341]"
,,,,,,,
two_bar_Truss_design_problems,8887.417994414576,0.1,3,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[8885.158033007901,8886.388261999185,8886.865919322288,8887.028909044097,8887.162259678664,8887.220585967503,8887.277105315728,8887.265817070791,8887.288354037139,8887.30982567626,8887.320654797399,8887.322572996078,8887.33419806813,8887.337741770853,8887.339345578781,8887.341583961737,8887.345104624523,8887.349078401196,8887.35117010908,8887.352481930026,8887.355817655023,8887.357072017063,8887.359645578017,8887.36181219007,8887.363665693356,8887.369806819843,8887.370101703786,8887.374976134366,8887.381932669103,8887.38390614928,8887.385047211314,8887.385269181166,8887.385770753926,8887.387514202823,8887.388304407063,8887.389324873257,8887.389324877377,8887.389530269984,8887.390770912834,8887.390770975002,8887.390868102146,8887.390922434655,8887.390923554174,8887.39276869153,8887.39295441354,8887.392954415725,8887.393699279297,8887.395301119072,8887.395895765889,8887.396477185986,8887.396477186116,8887.396570511046,8887.397162285055,8887.398144487875,8887.398154848843,8887.398154848952,8887.399997680604,8887.400151839945,8887.400162061118,8887.40027229023,8887.400424261494,8887.400428398118,8887.40241462223,8887.410811819804,8887.410823890697,8887.41082454016,8887.410840253793,8887.410840253991,8887.410840254117,8887.41378621184,8887.41390058522,8887.41390058523,8887.41390134365,8887.413901343654,8887.41400163816,8887.41400291007,8887.414002910085,8887.414006374554,8887.414131452828,8887.414131826372,8887.41442248598,8887.414624502977,8887.414639966457,8887.414639966457,8887.414732803158,8887.414732882498,8887.414739562959,8887.41474108276,8887.414755491041,8887.414756999271,8887.414756999278,8887.415568696759,8887.415568696773,8887.415568696777,8887.415650251403,8887.416214891242,8887.416214891246,8887.417435220765,8887.417994414574,8887.417994414576]"
,,,,,,,
weldan_beam_design,7.625851896822065,0.1,4,"[4,1,1,1,1,1,1,1,1,1]","[5,2,1,1,1,1,1,1,1,1]","[7,2,1,1,1,1,1,1,1,1]","[9,3,1,1,1,1,1,1,1,1]"
