problem_name,best_HV,error,current_instance,confidence_interval_90,confidence_interval_95,confidence_interval_98,confidence_interval_99
pressure_vessel,1.112392394560426e13,0.09999999999999999,1,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[1.100434616138308e13,1.1078419567506666e13,1.10963303825486e13,1.1108739190872068e13,1.1114744693588266e13,1.1114744693588266e13,1.111556091230657e13,1.1118366446664566e13,1.1119845653685773e13,1.1120272232484645e13,1.1117286559203295e13,1.1123354920207088e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13,1.112392394560426e13]"
,,,,,,,
vibrating_platform,825.2902181132091,0.1,2,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[806.5727661961014,825.2497654422289,825.2721184798227,825.2724508956733,825.2724409445648,825.2725123622569,825.2731628465153,825.2729905444193,825.2752499251453,825.2755132664294,825.2754506963636,825.2754189257732,825.2899172628644,825.2837445232615,825.2902181132091,825.2901621829994,825.1541558735747,825.2186355031414,825.2184368765678,825.2185838909033,825.1907108302989,825.2666392576496,825.2498623161955,825.2498823989961,825.2504996116828,825.2840293789992,825.2657367161405,825.2615875301777,825.24657246967,825.2641082918925,825.2383006942762,825.2601031391912,825.2598245027983,825.2742069418196,825.265433900721,825.2848145835806,825.260111450992,825.2792957558255,825.2793023494665,825.279357081928,825.2791484637612,825.2793127346927,825.2792930020621,825.2793311155309,825.2793050039903,825.2792768573454,825.2793263833628,825.2790537187739,825.287111785924,825.2871905418093,825.2874386822989,825.2875168175052,825.2792071141236,825.2792826676059,825.2793894971791,825.2791441480931,825.2750540951075,825.2753058233561,825.2752280852242,825.2751253111637,825.2859820380481,825.2751118457664,825.2590118801974,825.2691438987224,825.2591823246248,825.259070752058,825.2591804054605,825.2654810678537,825.2685117604369,825.2590438300734,825.2527233258958,825.2528192416828,825.2528242464762,825.252820323681,825.2526656172315,825.2523920524158,825.2527948549604,825.2524083351836,825.2528505920901,825.252403540118,825.2528097052435,825.2630510753226,825.2527850347283,825.2526583015282,825.2523445574999,825.2527013414835,825.2525435886375,825.2619095005366,825.252274615866,825.2524902626668,825.252187675522,825.264700944223,825.2524214457845,825.252426604661,825.252432986798,825.2523867907285,825.2525785370466,825.2524287347861,825.2525895792755,825.261908119971]"
,,,,,,,
two_bar_Truss_design_problems,8858.775146590027,0.1,3,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[8848.70940028125,8851.458493440732,8851.83202314112,8853.135218462818,8853.14724741531,8851.132822516804,8853.333953996202,8857.661429261101,8856.708738529538,8857.752982543449,8856.773815364208,8855.788937554173,8855.6809567138,8857.620137176527,8858.726491979234,8856.384627381929,8856.288987895588,8858.740357033887,8858.775146590027,8858.497161557996,8858.201232864456,8835.653554154842,8843.48289367977,8845.318862235768,8846.514667311601,8846.323038795812,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497,8846.102580422497]"
,,,,,,,
weldan_beam_design,7.407679011045911,0.1,4,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
